"name","Class","Contrast","UpGroup","DownGroup","Direction","EnrichedIn","p_value","ratio"
"PC O-36:6","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.304454782,0.175
"PC O-38:1","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.838900534,0.0397
"PC O-38:2","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.042962413,-0.301
"PC O-38:3","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.85590794,-0.0318
"PC O-38:4","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.090840525,0.301
"PC O-38:5","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","Up","RDH12 200",0.033523209,0.414
"PC O-38:7","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.152318029,0.232
"PC O-40:2","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.553433713,0.105
"PC O-40:3","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.323161567,0.115
"PC O-40:4","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","Up","RDH12 200",0.001855461,0.671
"PC O-40:5","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.031500384,0.294
"PC O-40:6","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.119539976,0.388
"PC O-40:7","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","Up","RDH12 200",0.013461652,0.41
"PC O-42:5","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.099472381,0.191
"PC O-42:6","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.002673913,0.298
"PC O-42:7","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","Up","RDH12 200",5.46e-05,0.553
"PC O-44:2","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.180809542,0.119
"PC O-44:6","PC ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.297071145,0.105
"PC(16:0)","Oxidized PC","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.833577983,-0.0369
"PC(16:0/8:0(COOH))","Oxidized PC","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.162504353,0.202
"PC(34:4)","Oxidized PC","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","Up","RDH12 200",0.019852744,1.39
"PC(O-40:1)","Oxidized PC","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.857988507,0.0569
"PC(P-30:1)","Oxidized PC","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.433074671,0.0873
"PE 32:0","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.080848167,0.196
"PE 32:2","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.05995368,-0.152
"PE 34:0","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.223755762,0.178
"PE 34:2","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.087086387,-0.356
"PE 34:3","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.46166623,0.1
"PE 36:0","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.222010763,0.213
"PE 36:1","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.08260948,0.283
"PE 36:2","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.200496238,-0.176
"PE 36:3","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","Down","RDH12 Veh",0.023924336,-0.395
"PE 36:4","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.115614053,-0.243
"PE 36:5","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.984693962,-0.00217
"PE 36:7","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.367460893,0.0934
"PE 38:0","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.118780345,0.145
"PE 38:1","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.17180218,0.138
"PE 38:2","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.866331855,-0.0233
"PE 38:3","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.588497549,0.0728
"PE 38:4","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.162785545,-0.231
"PE 38:5","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","Down","RDH12 Veh",0.002906353,-0.521
"PE 38:6","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.140285478,-0.191
"PE 40:1","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.114435844,0.194
"PE 40:2","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.731024248,0.042
"PE 40:3","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.233456489,0.125
"PE 40:4","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.234006931,-0.123
"PE 40:5","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.555739921,-0.065
"PE 40:6","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.716066082,0.0626
"PE 40:7","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.517441567,-0.0701
"PE 42:1","PE","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.029369737,0.241
"PE O-34:0","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.755122021,0.0415
"PE O-34:1","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.028847047,-0.33
"PE O-34:2","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.16743355,0.189
"PE O-36:1","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.099420322,-0.293
"PE O-36:2","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.449732153,-0.139
"PE O-36:3","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.355449529,-0.0743
"PE O-36:4","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.678954282,0.056
"PE O-36:5","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.608742764,0.056
"PE O-38:1","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.986848307,-0.00137
"PE O-38:3","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.728332461,-0.0445
"PE O-38:4","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.762905562,-0.037
"PE O-38:5","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.368227338,-0.14
"PE O-38:6","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.410946261,-0.087
"PE O-40:4","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.757808327,-0.0246
"PE O-40:5","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.158300457,-0.196
"PE O-40:6","PE ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.581272134,-0.063
"PE(O-38:2)","Other","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.033303337,0.313
"PE(O-40:2)","Other","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.561931638,0.0585
"PG 20:0","PG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.736574447,0.0548
"PG 34:1","PG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.526155662,-0.0758
"PG 34:4","PG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.229553109,-0.171
"PG 36:1","PG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","Up","RDH12 200",2.75e-05,0.469
"PI 32:1","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.599156092,-0.0646
"PI 34:0","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.239127393,0.115
"PI 34:2","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.025240431,-0.241
"PI 36:0","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.391987291,-0.105
"PI 36:1","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.401535261,-0.187
"PI 36:3","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.098058838,-0.166
"PI 38:1","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.177658933,-0.143
"PI 38:2","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","Down","RDH12 Veh",0.000545947,-0.574
"PI 38:4","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.062372479,0.337
"PI 40:4","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.64181948,-0.0639
"PI 40:5","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.156096996,-0.14
"PI 40:6","PI","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.231630619,-0.147
"PI O-34:1","PI ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.559247047,0.0615
"PI O-36:1","PI ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.051381723,-0.218
"PI O-38:1","PI ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.270902575,0.096
"PI O-38:2","PI ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.088004623,-0.187
"PI O-38:3","PI ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.03737471,-0.218
"PI O-38:4","PI ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.863306399,-0.0158
"PS 32:1","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.54298626,0.0447
"PS 34:0","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.444064443,0.102
"PS 34:1","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.324629016,0.258
"PS 34:4","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.735874262,-0.0517
"PS 34:5","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.27894113,0.109
"PS 36:0","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.301965969,0.146
"PS 36:1","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","Up","RDH12 200",0.07887093,0.53
"PS 36:2","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.63160164,-0.0695
"PS 36:8","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.181280153,0.189
"PS 38:1","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.637237408,0.0614
"PS 38:2","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.127673653,-0.154
"PS 38:3","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.071226908,0.215
"PS 38:4","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.597044441,-0.058
"PS 38:8","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.672100163,0.0424
"PS 40:1","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.343950553,0.141
"PS 40:2","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.942104375,0.00745
"PS 40:4","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.388026779,0.0801
"PS 40:5","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.014737572,0.272
"PS 40:6","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.574336478,0.0837
"PS 42:1","PS","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.013663605,0.284
"PS O-34:1","PS ether","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.473195585,-0.0512
"SM(32:0","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.42592496,0.164
"SM(32:1","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.894919457,-0.0477
"SM(32:2","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.942347,0.0119
"SM(34:0","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.62720088,0.281
"SM(34:1","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.373778963,0.61
"SM(34:1.1","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.914672742,-0.117
"SM(34:2","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.979700582,-0.00943
"SM(36:0","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.633739446,-0.685
"SM(36:1","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.484870448,-0.742
"SM(36:2","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.403693078,-0.376
"SM(38:0","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.198594041,-1.83
"SM(38:1","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.221578116,-1.55
"SM(38:2","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.385460891,-0.475
"SM(38:3","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.296401765,-0.69
"SM(40:0","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.479169541,-0.425
"SM(40:1","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.252077289,-0.931
"SM(40:2","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.427651918,-0.527
"SM(40:3","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.525807589,-0.338
"SM(42:0","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.598799717,-0.153
"SM(42:1","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.588455947,-0.303
"SM(42:2","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.514103234,-0.382
"SM(42:3","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.480325456,-0.316
"SM(44:0","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.947478923,0.0149
"SM(44:1","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.888205421,-0.0285
"SM(44:2","SM","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.825637392,0.0337
"TG 32:0 NL 16:0","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.992302561,0.000892
"TG 34:1 NL 16:1","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.162585196,-0.608
"TG48:0] NL 16:0","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.02232959,0.319
"TG48:1] NL 14:0","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.620547027,-0.0437
"TG48:1] NL 16:0","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.677243888,-0.0565
"TG50:1] NL 16:0","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.611436109,0.0627
"TG50:1] NL 18:1","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.388178382,0.0995
"TG50:2]","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.612023085,-0.0581
"TG50:2] NL 16:0","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.463537675,-0.0759
"TG50:2] NL 18:1","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.4890391,0.081
"TG52:1] NL 16:0","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.084148757,0.19
"TG52:1] NL 18:0","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.065570841,0.192
"TG52:1] NL 18:1","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.16406152,0.155
"TG52:2] NL 16:0","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.475195327,-0.0685
"TG52:2] NL 18:1","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.286292053,-0.145
"TG52:3] NL 18:1","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.07577455,-0.236
"TG54:1] NL 20:0","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.57934616,0.0728
"TG54:2] NL 18:1","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.805845736,0.0312
"TG54:3] NL 18:1","TG","RDH12 200 vs RDH12 Veh","RDH12 200","RDH12 Veh","NS","NS",0.194063402,-0.225
"[CE 18:1 +NH4]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.111730586,0.206
"[DG 38:1","DG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.619179605,-0.0564
"DG 32:0 NL 16:0","DG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","Down","WT Veh",0.000221838,-0.585
"DG 34:0 NL 16:0","DG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","Down","WT Veh",4.42e-05,-0.638
"DG 40:6 NL 16:1","DG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.002882162,-0.299
"PC 34:5","PC","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.848443659,0.0302
"PC O-30:0","PC ether","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","Up","RDH12 Veh",0.003734526,0.46
"PC O-34:4","PC ether","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","Down","WT Veh",0.031256508,-0.379
"PC O-36:4","PC ether","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","Up","RDH12 Veh",0.006827195,0.548
"PC O-36:5","PC ether","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.833711091,-0.0338
"PC O-38:6","PC ether","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","Up","RDH12 Veh",0.002759166,0.585
"PC(20:0/8:0(COOH))","Oxidized PC","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.391038522,-0.175
"PE 32:1","PE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.294379718,-0.137
"PE 34:1","PE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","Up","RDH12 Veh",0.019650143,0.474
"PE 34:4","PE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.144175677,-0.286
"PI 34:1","PI","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.449449583,-0.093
"PI 36:2","PI","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.848972961,0.0305
"PI 36:4","PI","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","Down","WT Veh",0.003430732,-0.443
"PI 38:3","PI","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.600919743,0.087
"PI 38:5","PI","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.056513807,-0.296
"[CE 14:0 +NH4]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.890912716,-0.0138
"[CE 16:0 +H]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.06004817,-0.353
"[CE 16:0 +NH4]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.617538314,-0.0631
"[CE 16:1 +NH4]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.133443592,-0.163
"[CE 16:3 +K]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.092110744,-0.202
"[CE 18:0 +Na]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.526298344,-0.194
"[CE 18:0 +NH4]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.370261222,-0.105
"[CE 18:3 +Na]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.174381584,-0.152
"[CE 20:3 +Na]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.982099206,0.00234
"[CE 20:4 +NH4]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.324297281,0.0992
"[CE 22:2 +K]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.964963481,-0.00404
"[CE 22:6 +NH4]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.40307109,-0.0814
"[CE 24:1 +Na]","CE","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.436118268,-0.209
"[TG34:2] NL 20:0","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.384858685,-0.0905
"[TG36:0] NL 18:0","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.93402317,0.0128
"[TG38:0] NL 20:0","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.151037784,-0.578
"[TG44:4] NL 20:0","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.162637892,-0.512
"[TG44:5] NL 20:0","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.161934693,-0.606
"[TG46:0] NL 16:0","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.392357391,-0.0968
"[TG48:7","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.053683559,-0.338
"[TG48:8","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.561572712,0.0509
"[TG50:7","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.38517744,-0.108
"[TG50:8","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.444974558,-0.0748
"[TG50:8.1","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.522852986,-0.0741
"[TG52:8","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.804165252,-0.0234
"[TG52:8.1","TG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.934140383,0.00774
"Cer(d14:1/20:0)","Cer","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.316521369,-0.285
"Cer(d14:1/24:0(2OH))","Cer","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.630780885,-0.0906
"Cer(d14:2/20:0)","Cer","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.200553907,-0.49
"Cer(d18:0/20:0(2OH))","Cer","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","Down","WT Veh",0.027648225,-0.774
"Cer(d18:1/16:0)","Cer","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.519890562,-0.139
"Cer(d18:1/18:0)","Cer","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.355937629,0.109
"Cer(d18:1/22:0)","Cer","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.533146424,0.127
"Cer(d18:1/24:0)","Cer","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.371129375,0.11
"Cer(d18:1/24:1)","Cer","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.22979365,0.208
"Cer(d18:2/24:0)","Cer","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","Up","RDH12 Veh",0.026090028,0.418
"CerP(d18:1/24:1)","Other","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.076295332,0.245
"DG 30:0 NL 14:0","DG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.100735343,-0.244
"DG 30:1 NL 14:1","DG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.013729989,-0.308
"DG 30:1 NL 16:0","DG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.14333224,-0.404
"DG 30:2 NL 16:0","DG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.152520246,-0.609
"DG 30:2 NL 16:1","DG","RDH12 Veh vs WT Veh","RDH12 Veh","WT Veh","NS","NS",0.11912895,-0.323
