"name","Class","Contrast","UpGroup","DownGroup","Direction","EnrichedIn","p_value","ratio"
"DG 40:6 NL 22:6","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.45099366,-0.231
"DG 40:7 NL 22:6","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.088702819,-0.235
"DG 42:10 NL 22:5","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.522972109,-0.165
"DG 42:11 NL 16:0","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.596660695,-0.203
"DG 42:11 NL 22:5","DG","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.926752881,-0.0504
"LPC 16:0","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.98400907,0.00663
"LPC 16:1","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.343611236,0.275
"LPC 18:0","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.159173118,0.326
"LPC 18:1","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.743225102,0.155
"LPC 18:2","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.394073753,0.107
"LPC 20:0","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.317768084,-0.0978
"LPC 24:0","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.835954202,0.0293
"LPC 26:0","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.929669198,0.0224
"LPC O-18:1","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.162389363,-0.173
"LPC O-20:4","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.892639004,0.0251
"LPC O-20:5","LPC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.377689918,-0.127
"LPC(14:0)","Other","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.480977799,0.122
"LPC(20:1)","Other","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.109969059,-0.247
"LPE 18:0","LPE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.630303488,0.082
"LPE 18:1","LPE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.686966442,0.0782
"LPE 20:1","LPE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.564654852,-0.0731
"LPE(O-20:4)","Other","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.666851911,-0.0958
"LPI O-20:0","Other","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.820056249,-0.0501
"PC 14:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.943875212,-0.0127
"PC 18:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.935338816,0.0132
"PC 22:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.779209559,0.0349
"PC 24:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.614941226,-0.0823
"PC 26:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.40702436,-0.308
"PC 26:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.444308779,-0.0701
"PC 28:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.82604584,-0.032
"PC 28:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.962372126,-0.0085
"PC 28:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.190155858,0.122
"PC 28:6","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.14449467,-0.186
"PC 30:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.001020146,0.652
"PC 30:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.638705426,0.0722
"PC 30:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.170546719,0.19
"PC 30:3","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.448091275,-0.0944
"PC 32:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.001603052,0.626
"PC 32:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.306074684,0.207
"PC 32:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.179580037,0.24
"PC 32:3","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.484896444,0.0789
"PC 32:4","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.966196005,-0.00488
"PC 32:5","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.237443648,0.144
"PC 32:6","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.200529325,-0.745
"PC 34:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.217256956,0.204
"PC 34:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.066848311,0.386
"PC 34:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.91817557,-0.0162
"PC 34:3","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.634208285,-0.079
"PC 34:6","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.431660321,0.112
"PC 36:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.418547909,0.168
"PC 36:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.337550271,0.172
"PC 36:3","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.589079705,0.0929
"PC 36:4","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.024167529,0.324
"PC 36:5","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.136927795,-0.246
"PC 36:6","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.176765692,0.23
"PC 36:7","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.127536452,0.309
"PC 38:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.053207769,0.325
