"ContrastID","Contrast","ComparisonType","Class","Direction","EnrichedIn","Count","SignedCount"
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PG","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PG","Up","RDH12 100",1,1
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PI","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PI","Up","RDH12 100",1,1
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PI ether","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PI ether","Up","RDH12 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PS","Down","WT 100",1,-1
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PS","Up","RDH12 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PS ether","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","PS ether","Up","RDH12 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","SM","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","SM","Up","RDH12 100",1,1
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","TG","Down","WT 100",0,0
"RDH12_100_vs_Control_100","RDH12 100 vs WT 100","RDH12 vs WT matched dose","TG","Up","RDH12 100",4,4
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","CE","Down","RDH12 EtOH",1,-1
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","CE","Up","RDH12 100",1,1
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","Cer","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","Cer","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","DG","Down","RDH12 EtOH",1,-1
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","DG","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","LPC","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","LPC","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","LPE","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","LPE","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","Other","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","Other","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","Oxidized PC","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","Oxidized PC","Up","RDH12 100",1,1
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PC","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PC","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PC ether","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PC ether","Up","RDH12 100",2,2
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PE","Down","RDH12 EtOH",2,-2
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PE","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PE ether","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PE ether","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PG","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PG","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PI","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PI","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PI ether","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PI ether","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PS","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PS","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PS ether","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","PS ether","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","SM","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","SM","Up","RDH12 100",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","TG","Down","RDH12 EtOH",0,0
"RDH12_100_vs_RDH12_Veh","RDH12 100 vs RDH12 EtOH","Within genotype","TG","Up","RDH12 100",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","CE","Down","WT 200",3,-3
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","CE","Up","RDH12 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","Cer","Down","WT 200",1,-1
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","Cer","Up","RDH12 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","DG","Down","WT 200",30,-30
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","DG","Up","RDH12 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","LPC","Down","WT 200",6,-6
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","LPC","Up","RDH12 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","LPE","Down","WT 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","LPE","Up","RDH12 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","Other","Down","WT 200",1,-1
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","Other","Up","RDH12 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","Oxidized PC","Down","WT 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","Oxidized PC","Up","RDH12 200",1,1
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PC","Down","WT 200",2,-2
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PC","Up","RDH12 200",16,16
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PC ether","Down","WT 200",1,-1
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PC ether","Up","RDH12 200",24,24
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PE","Down","WT 200",1,-1
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PE","Up","RDH12 200",7,7
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PE ether","Down","WT 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PE ether","Up","RDH12 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PG","Down","WT 200",2,-2
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PG","Up","RDH12 200",1,1
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PI","Down","WT 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PI","Up","RDH12 200",4,4
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PI ether","Down","WT 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PI ether","Up","RDH12 200",0,0
