"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"CDK11A",-0.257,0.85882212765415,-0.3,0.86,"-0.3","0.86","NS",NA
"CDKN2A",-1.25,0.000227446744261918,-1.2,0,"-1.2","<0.01","Down",NA
"CEBPZOS",-4.78,1.15587226750072e-08,-4.8,0,"-4.8","<0.01","Down",NA
"CENPW",0.734,0.161324711928981,0.7,0.16,"0.7","0.16","NS",NA
"CENPX",-2.17,0.000167742883067367,-2.2,0,"-2.2","<0.01","Down",NA
"CEP170B",-1.06,0.0013310488862637,-1.1,0,"-1.1","<0.01","Down",NA
"CEP41",-1,0.000799304977302539,-1,0,"-1.0","<0.01","Down",NA
"CFAP97",-1.16,0.0152757155161314,-1.2,0.02,"-1.2","0.02","NS",NA
"CHCHD4",1.63,0.268399933545891,1.6,0.27,"1.6","0.27","NS",NA
"CHKA",-2.74,0.155789599089545,-2.7,0.16,"-2.7","0.16","NS",NA
"CHPF",2.39,0.248459214245712,2.4,0.25,"2.4","0.25","NS",NA
"CHPF2",0.283,0.8749573304911,0.3,0.87,"0.3","0.87","NS",NA
"CHSY1",0.429,0.205804880685254,0.4,0.21,"0.4","0.21","NS",NA
"CISD1",1.34,3.7166597544307e-05,1.3,0,"1.3","<0.01","Up",NA
"CKS1B",-1.27,0.00257480083169831,-1.3,0,"-1.3","<0.01","Down",NA
"CKS2",-1.51,0.000169989496736285,-1.5,0,"-1.5","<0.01","Down",NA
"CLK3",0.242,0.46655037393815,0.2,0.47,"0.2","0.47","NS",NA
"CLOCK",0.137,0.962810333073502,0.1,0.96,"0.1","0.96","NS",NA
"CLTCL1",1.01,0.380607197736008,1,0.38,"1.0","0.38","NS",NA
"CLU",0.51,0.109801323818772,0.5,0.11,"0.5","0.11","NS",NA
"CMTM6",0.788,0.635890606651772,0.8,0.64,"0.8","0.64","NS",NA
"CNBP",-1.32,0.193262847163178,-1.3,0.19,"-1.3","0.19","NS",NA
"CNEP1R1",-5.77,0.000176524269459296,-5.8,0,"-5.8","<0.01","Down",NA
"CNOT8",0.121,0.896817636917088,0.1,0.9,"0.1","0.90","NS",NA
"CNOT9",-2.48,1.46617401325416e-05,-2.5,0,"-2.5","<0.01","Down",NA
"COL1A1",0.648,0.394039176663393,0.6,0.39,"0.6","0.39","NS",NA
"COL1A2",2.17,0.00646658497934863,2.2,0.01,"2.2","<0.01","Up",NA
"COL4A6",-0.0188,0.961710284179998,0,0.96,"-0.0","0.96","NS",NA
"COLEC12",-1.16,0.00156288940020981,-1.2,0,"-1.2","<0.01","Down",NA
"COMMD3",-1.33,0.000369410747790052,-1.3,0,"-1.3","<0.01","Down",NA
"COMMD5",-5.31,0.000257636752203267,-5.3,0,"-5.3","<0.01","Down",NA
"COMMD8",-4.71,5.76452344345118e-08,-4.7,0,"-4.7","<0.01","Down",NA
"COMMD9",-1.01,0.000206733098928962,-1,0,"-1.0","<0.01","Down",NA
"COQ9",0.283,0.373971734134338,0.3,0.37,"0.3","0.37","NS",NA
"COX6A1",-1.25,0.0406037064698593,-1.2,0.04,"-1.2","0.04","NS",NA
"CPNE8",0.385,0.0893012041602628,0.4,0.09,"0.4","0.09","NS",NA
"CRABP2",-0.0176,0.982826499721941,0,0.98,"-0.0","0.98","NS",NA
"CRBN",-0.219,0.663975117456344,-0.2,0.66,"-0.2","0.66","NS",NA
"CREM",1.55,0.423839122560696,1.6,0.42,"1.6","0.42","NS",NA
"CRIM1",-0.306,0.657055997639691,-0.3,0.66,"-0.3","0.66","NS",NA
"CRYGD",0.62,0.704945210983425,0.6,0.7,"0.6","0.70","NS",NA
"CSPG4",0.466,0.567604914185914,0.5,0.57,"0.5","0.57","NS",NA
"CSPG5",1.81,0.425322424260727,1.8,0.43,"1.8","0.43","NS",NA
"CUL7",0.439,0.619531535715302,0.4,0.62,"0.4","0.62","NS",NA
"CWC22",0.272,0.23934421903062,0.3,0.24,"0.3","0.24","NS",NA
"CYBA",-0.179,0.82351684261702,-0.2,0.82,"-0.2","0.82","NS",NA
"CYBC1",1.04,0.00350779260124907,1,0,"1.0","<0.01","Up",NA
"CYLD",0.248,0.780555917722081,0.2,0.78,"0.2","0.78","NS",NA
"CYREN",-3.8,0.000176524269459296,-3.8,0,"-3.8","<0.01","Down",NA
"CYSTM1",-0.251,0.937353147246376,-0.3,0.94,"-0.3","0.94","NS",NA
"DACT1",-3.45,0.00555714846708272,-3.5,0.01,"-3.5","<0.01","Down",NA
"DBP",0.445,0.681234331775598,0.4,0.68,"0.4","0.68","NS",NA
"DCBLD1",6.26,3.01293680283686e-05,6.3,0,"6.3","<0.01","Up",NA
"DCTD",-0.336,0.356421808680778,-0.3,0.36,"-0.3","0.36","NS",NA
"DDIT4",1.2,0.0929077471896149,1.2,0.09,"1.2","0.09","NS",NA
"DDR2",-0.174,0.663704613707563,-0.2,0.66,"-0.2","0.66","NS",NA
"DDX19A",-0.274,0.631001366154064,-0.3,0.63,"-0.3","0.63","NS",NA
"DDX28",-0.345,0.172661727857973,-0.3,0.17,"-0.3","0.17","NS",NA
"DGCR2",-0.611,0.104024125439518,-0.6,0.1,"-0.6","0.10","NS",NA
"DGCR6",-4.31,1.61745983142352e-06,-4.3,0,"-4.3","<0.01","Down",NA
"DGCR6L",-3.91,3.43513139961008e-05,-3.9,0,"-3.9","<0.01","Down",NA
"DHDDS",-1.03,0.760448574177325,-1,0.76,"-1.0","0.76","NS",NA
"DHRS13",0.992,0.397349032414165,1,0.4,"1.0","0.40","NS",NA
"DKK1",-0.859,0.195239826275443,-0.9,0.2,"-0.9","0.20","NS",NA
"DLX1",2.05,0.28007046153357,2,0.28,"2.0","0.28","NS",NA
"DLX6",0.539,0.393035924343035,0.5,0.39,"0.5","0.39","NS",NA
"DMTN",-0.548,0.322957612375474,-0.5,0.32,"-0.5","0.32","NS",NA
"DNA2",-0.101,0.875878714219422,-0.1,0.88,"-0.1","0.88","NS",NA
"DNAJB5",0.757,0.755065100411601,0.8,0.76,"0.8","0.76","NS",NA
"DNAL4",-2.42,4.18005890126975e-07,-2.4,0,"-2.4","<0.01","Down",NA
"DNLZ",0.37,0.571794535823061,0.4,0.57,"0.4","0.57","NS",NA
"DOLK",-5.43,1.44441572585594e-06,-5.4,0,"-5.4","<0.01","Down",NA
"DPH7",0.0327,0.981923044035169,0,0.98,"0.0","0.98","NS",NA
"DPM3",-0.478,0.166362812127653,-0.5,0.17,"-0.5","0.17","NS",NA
"EDIL3",4.16,0.00162540147529622,4.2,0,"4.2","<0.01","Up",NA
"EEF1AKMT1",-0.945,0.530738844125428,-0.9,0.53,"-0.9","0.53","NS",NA
"EEF1G",-0.369,0.0983439439664227,-0.4,0.1,"-0.4","0.10","NS",NA
"EFNA5",0.36,0.709600149629125,0.4,0.71,"0.4","0.71","NS",NA
"EFR3A",0.0984,0.929136608277665,0.1,0.93,"0.1","0.93","NS",NA
"EFR3B",3.72,0.0917489369911829,3.7,0.09,"3.7","0.09","NS",NA
"EGLN3",0.919,0.687819856533684,0.9,0.69,"0.9","0.69","NS",NA
"EGR1",1.52,0.0842574286082127,1.5,0.08,"1.5","0.08","NS",NA
"EHD3",-4.83,0.00106437451603668,-4.8,0,"-4.8","<0.01","Down",NA
"EIF1",-2.2,0.000112156671669828,-2.2,0,"-2.2","<0.01","Down",NA
"EIF1B",-1.62,0.000136831207221332,-1.6,0,"-1.6","<0.01","Down",NA
"EIF3C",6.62,8.8346706840937e-07,6.6,0,"6.6","<0.01","Up",NA
"EIF4ENIF1",-1.31,0.000380676151676315,-1.3,0,"-1.3","<0.01","Down",NA
"EIF5",-0.875,0.00241836949247876,-0.9,0,"-0.9","<0.01","NS",NA
"ELOF1",-1.11,0.283746384015417,-1.1,0.28,"-1.1","0.28","NS",NA
"ELOVL1",0.373,0.915833520529785,0.4,0.92,"0.4","0.92","NS",NA
"ELOVL5",2.03,0.142083290730198,2,0.14,"2.0","0.14","NS",NA
"ENDOD1",0.451,0.294640929889408,0.5,0.29,"0.5","0.29","NS",NA
"ENKD1",-3.33,3.89348720102952e-06,-3.3,0,"-3.3","<0.01","Down",NA
"ENTPD6",4.7,5.35117811695178e-06,4.7,0,"4.7","<0.01","Up",NA
"ENTR1",-5.93,6.8028832443182e-06,-5.9,0,"-5.9","<0.01","Down",NA
"EPHA4",-0.0226,0.950706955880395,0,0.95,"-0.0","0.95","NS",NA
"EPHA7",-0.602,0.106406939512402,-0.6,0.11,"-0.6","0.11","NS",NA
"ERAP1",0.655,0.19902850682021,0.7,0.2,"0.7","0.20","NS",NA
"ERBB2",0.627,0.37945934617529,0.6,0.38,"0.6","0.38","NS",NA
"ERC2",-0.723,0.463170123645039,-0.7,0.46,"-0.7","0.46","NS",NA
"ERCC8",-0.913,0.654553840899231,-0.9,0.65,"-0.9","0.65","NS",NA
"ERP44",0.421,0.12408974703992,0.4,0.12,"0.4","0.12","NS",NA
"ERRFI1",-6.01,1.83837025400723e-06,-6,0,"-6.0","<0.01","Down",NA
"ESRRA",0.735,0.00765585252990881,0.7,0.01,"0.7","<0.01","NS",NA
"ETAA1",-3.45,1.34660732050555e-05,-3.5,0,"-3.5","<0.01","Down",NA
"EVI5",-0.266,0.646865288411383,-0.3,0.65,"-0.3","0.65","NS",NA
"F13A1",4.46,0.00929946765235453,4.5,0.01,"4.5","<0.01","Up",NA
"F5",1.69,0.00128026570604705,1.7,0,"1.7","<0.01","Up",NA
"FAAP100",1.5,0.124432042100102,1.5,0.12,"1.5","0.12","NS",NA
"FAM174A",-0.119,0.887431574114886,-0.1,0.89,"-0.1","0.89","NS",NA
"FAM174B",-0.214,0.898304598152058,-0.2,0.9,"-0.2","0.90","NS",NA
"FAM199X",-1.78,0.224385357188318,-1.8,0.22,"-1.8","0.22","NS",NA
"FAM234B",0.304,0.237463290932192,0.3,0.24,"0.3","0.24","NS",NA
"FAM3C",-0.503,0.218155396551231,-0.5,0.22,"-0.5","0.22","NS",NA
"FAM89A",-1.58,0.000909112192342241,-1.6,0,"-1.6","<0.01","Down",NA
"FANCE",-3.36,9.04382686536439e-09,-3.4,0,"-3.4","<0.01","Down",NA
"FAT1",5.32,6.34711204153098e-06,5.3,0,"5.3","<0.01","Up",NA
"FBLIM1",-1.06,0.111330239656363,-1.1,0.11,"-1.1","0.11","NS",NA
"FBRSL1",-0.607,0.0425859290607189,-0.6,0.04,"-0.6","0.04","NS",NA
"FBXO2",0.747,0.755689948772779,0.7,0.76,"0.7","0.76","NS",NA
"FBXO46",-0.135,0.94414343587931,-0.1,0.94,"-0.1","0.94","NS",NA
"FDX2",3.37,0.122871866059485,3.4,0.12,"3.4","0.12","NS",NA
"FGFR3",0.166,0.928338609338781,0.2,0.93,"0.2","0.93","NS",NA
"FHL1",-1.61,0.0742091577004938,-1.6,0.07,"-1.6","0.07","NS",NA
"FIP1L1",0.22,0.583139502635341,0.2,0.58,"0.2","0.58","NS",NA
"FKBPL",-1.45,0.000469050892258324,-1.4,0,"-1.4","<0.01","Down",NA
"FLT1",-0.298,0.402199608925948,-0.3,0.4,"-0.3","0.40","NS",NA
"FN1",5.17,8.08658604818582e-09,5.2,0,"5.2","<0.01","Up",NA
"FOS",3.99,0.0168287892861877,4,0.02,"4.0","0.02","NS","FOS"
"FOXD3",-2.7,0.26760193027333,-2.7,0.27,"-2.7","0.27","NS",NA
"FPGS",-4.71,0.000644517537124236,-4.7,0,"-4.7","<0.01","Down",NA
"FRMD4A",-3.96,0.0754967913740411,-4,0.08,"-4.0","0.08","NS",NA
"FTL",-0.51,0.414927788869928,-0.5,0.41,"-0.5","0.41","NS",NA
"FUNDC1",-5.42,0.00217497902148614,-5.4,0,"-5.4","<0.01","Down",NA
"FURIN",0.602,0.554672210908793,0.6,0.55,"0.6","0.55","NS",NA
"FUT8",4.19,6.11229522290498e-06,4.2,0,"4.2","<0.01","Up",NA
"FXN",0.257,0.53891402774695,0.3,0.54,"0.3","0.54","NS",NA
"FZD7",-1.02,0.348023722382478,-1,0.35,"-1.0","0.35","NS",NA
"FZD8",3.01,0.370178091998309,3,0.37,"3.0","0.37","NS",NA
"GALNT10",4.88,0.00126736568469533,4.9,0,"4.9","<0.01","Up",NA
"GALNT13",0.752,0.807666343294985,0.8,0.81,"0.8","0.81","NS",NA
"GALNT4",-2.22,0.389015688544236,-2.2,0.39,"-2.2","0.39","NS",NA
"GATA4",0.129,0.802901886672167,0.1,0.8,"0.1","0.80","NS",NA
"GCNT1",0.501,0.718894955242153,0.5,0.72,"0.5","0.72","NS",NA
"GHITM",0.548,0.166058070290419,0.5,0.17,"0.5","0.17","NS",NA
"GINM1",-0.0087,0.993774080330523,0,0.99,"-0.0","0.99","NS",NA
"GJA1",0.403,0.168312383010299,0.4,0.17,"0.4","0.17","NS",NA
"GJC1",-3.29,5.21309621413376e-05,-3.3,0,"-3.3","<0.01","Down",NA
"GK",0.482,0.585169220450181,0.5,0.59,"0.5","0.59","NS",NA
"GLRX",-5.12,5.72174914081225e-08,-5.1,0,"-5.1","<0.01","Down",NA
"GLRX2",-5.09,3.86224514962579e-07,-5.1,0,"-5.1","<0.01","Down",NA
"GLT8D1",0.886,0.0257683164789437,0.9,0.03,"0.9","0.03","NS",NA
"GNAZ",-0.575,0.800394962737498,-0.6,0.8,"-0.6","0.80","NS",NA
"GNB2",0.368,0.486106739042043,0.4,0.49,"0.4","0.49","NS",NA
"GNG5",-1.02,0.0843888435004024,-1,0.08,"-1.0","0.08","NS",NA
"GOLGA7",0.0842,0.855444533811026,0.1,0.86,"0.1","0.86","NS",NA
"GOLM1",-0.865,0.0860199008421161,-0.9,0.09,"-0.9","0.09","NS",NA
"GON4L",0.173,0.654518429623312,0.2,0.65,"0.2","0.65","NS",NA
"GORASP1",1.17,0.0573832220485639,1.2,0.06,"1.2","0.06","NS",NA
"GPBP1L1",-1.37,0.000930183241389259,-1.4,0,"-1.4","<0.01","Down",NA
"GPC3",0.473,0.169368955864103,0.5,0.17,"0.5","0.17","NS",NA
"GPC6",-0.0456,0.897699015937444,0,0.9,"-0.0","0.90","NS",NA
"GPRC5C",0.403,0.832561626385672,0.4,0.83,"0.4","0.83","NS",NA
"GPRIN3",-0.986,0.0257683164789437,-1,0.03,"-1.0","0.03","NS",NA
"GRAMD4",3.74,0.112793254234983,3.7,0.11,"3.7","0.11","NS",NA
"GREB1L",-0.0227,0.991608443916458,0,0.99,"-0.0","0.99","NS",NA
"GRIP1",-1.08,0.208768792814448,-1.1,0.21,"-1.1","0.21","NS",NA
"GSTA4",-4.69,0.0015953677914044,-4.7,0,"-4.7","<0.01","Down",NA
"GTF3C1",1.12,2.5632289420898e-05,1.1,0,"1.1","<0.01","Up",NA
