"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ASPRV1",-0.342,0.968,-0.3,0.97,"-0.3","0.97","NS",NA
"ASRGL1",-1.5,0.897,-1.5,0.9,"-1.5","0.90","NS",NA
"ATAD5",1.27,0.521,1.3,0.52,"1.3","0.52","NS",NA
"ATF2",0.166,0.965,0.2,0.96,"0.2","0.96","NS",NA
"ATF3",-2.42,0.531,-2.4,0.53,"-2.4","0.53","NS",NA
"ATF4",-2.05,0.861,-2,0.86,"-2.0","0.86","NS",NA
"ATF6",-1.13,0.836,-1.1,0.84,"-1.1","0.84","NS",NA
"ATP11C",6.97,0.0304,7,0.03,"7.0","0.03","Up",NA
"ATP13A1",3.68,0.378,3.7,0.38,"3.7","0.38","NS",NA
"ATP1B1",-1.01,0.809,-1,0.81,"-1.0","0.81","NS",NA
"ATP2A2",1.48,0.746,1.5,0.75,"1.5","0.75","NS",NA
"ATP5F1A",1.24,0.832,1.2,0.83,"1.2","0.83","NS",NA
"ATP5F1B",0.447,0.939,0.4,0.94,"0.4","0.94","NS",NA
"ATP5F1C",1.09,0.885,1.1,0.88,"1.1","0.88","NS",NA
"ATP5MG",0.373,0.951,0.4,0.95,"0.4","0.95","NS",NA
"ATP5MK",-0.912,0.874,-0.9,0.87,"-0.9","0.87","NS",NA
"ATP5PO",0.286,0.947,0.3,0.95,"0.3","0.95","NS",NA
"ATP6V0A1",0.755,0.927,0.8,0.93,"0.8","0.93","NS",NA
"ATP6V0A2",0.0715,0.968,0.1,0.97,"0.1","0.97","NS",NA
"ATP6V0D2",-8.08,0.000245,-8.1,0,"-8.1","<0.01","Down",NA
"ATP6V1D",-1.64,0.0361,-1.6,0.04,"-1.6","0.04","Down",NA
"ATP7A",2.78,0.816,2.8,0.82,"2.8","0.82","NS",NA
"ATP9A",2.53,0.91,2.5,0.91,"2.5","0.91","NS",NA
"ATR",7.3,0.000273,7.3,0,"7.3","<0.01","Up",NA
"ATXN2L",-0.268,0.96,-0.3,0.96,"-0.3","0.96","NS",NA
"ATXN7",5.46,0.316,5.5,0.32,"5.5","0.32","NS",NA
"ATXN7L3B",-1.07,0.786,-1.1,0.79,"-1.1","0.79","NS",NA
"B3GALNT2",0.595,0.966,0.6,0.97,"0.6","0.97","NS",NA
"B4GALT5",-2.72,0.348,-2.7,0.35,"-2.7","0.35","NS",NA
"B4GALT6",-1.25,0.934,-1.2,0.93,"-1.2","0.93","NS",NA
