"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"BAG4",-0.5,0.673,-0.5,0.67,"-0.5","0.67","NS",NA
"BAMBI",0.0107,0.972,0,0.97,"0.0","0.97","NS",NA
"BCAT1",-0.418,0.912,-0.4,0.91,"-0.4","0.91","NS",NA
"BCKDHB",-0.089,0.961,-0.1,0.96,"-0.1","0.96","NS",NA
"BCKDK",0.337,0.31,0.3,0.31,"0.3","0.31","NS",NA
"BCL10",-0.423,0.868,-0.4,0.87,"-0.4","0.87","NS",NA
"BCL11B",0.165,0.951,0.2,0.95,"0.2","0.95","NS",NA
"BCL2",0.179,0.945,0.2,0.94,"0.2","0.94","NS",NA
"BCL2L1",-0.0753,0.966,-0.1,0.97,"-0.1","0.97","NS",NA
"BCL2L12",7.6,5.28e-14,7.6,0,"7.6","<0.01","Up",NA
"BCL9L",-0.444,0.811,-0.4,0.81,"-0.4","0.81","NS",NA
"BCOR",-0.198,0.881,-0.2,0.88,"-0.2","0.88","NS",NA
"BDH1",-0.152,0.97,-0.2,0.97,"-0.2","0.97","NS",NA
"BIN1",-0.494,0.572,-0.5,0.57,"-0.5","0.57","NS",NA
"BIRC2",-0.166,0.931,-0.2,0.93,"-0.2","0.93","NS",NA
"BLM",-0.071,0.953,-0.1,0.95,"-0.1","0.95","NS",NA
"BLOC1S1",-0.381,0.872,-0.4,0.87,"-0.4","0.87","NS",NA
"BLOC1S4",-0.225,0.907,-0.2,0.91,"-0.2","0.91","NS",NA
"BLOC1S6",-0.668,0.675,-0.7,0.68,"-0.7","0.68","NS",NA
"BMP2",0.559,0.958,0.6,0.96,"0.6","0.96","NS",NA
"BMP4",0.441,0.941,0.4,0.94,"0.4","0.94","NS",NA
"BMPR1A",0.221,0.965,0.2,0.96,"0.2","0.96","NS",NA
"BMPR2",-5.65,8.42e-07,-5.7,0,"-5.7","<0.01","Down",NA
"BNIP3",0.0315,0.972,0,0.97,"0.0","0.97","NS",NA
"BOD1",-0.451,0.898,-0.5,0.9,"-0.5","0.90","NS",NA
"BOLA2B",-0.0991,0.952,-0.1,0.95,"-0.1","0.95","NS",NA
"BORCS6",-0.0981,0.957,-0.1,0.96,"-0.1","0.96","NS",NA
"BPGM",-0.529,0.156,-0.5,0.16,"-0.5","0.16","NS",NA
"BPHL",0.3,0.773,0.3,0.77,"0.3","0.77","NS",NA
"BPNT2",-0.96,3.55e-05,-1,0,"-1.0","<0.01","Down",NA
"BRI3",6.5,5.28e-14,6.5,0,"6.5","<0.01","Up",NA
"BRI3BP",0.0581,0.959,0.1,0.96,"0.1","0.96","NS",NA
"BRWD1",-0.0412,0.968,0,0.97,"-0.0","0.97","NS",NA
"BRWD3",-0.0949,0.961,-0.1,0.96,"-0.1","0.96","NS",NA
"BSN",-1.1,0.038,-1.1,0.04,"-1.1","0.04","Down",NA
"BTBD2",-0.428,0.455,-0.4,0.46,"-0.4","0.46","NS",NA
"BTBD8",-0.315,0.874,-0.3,0.87,"-0.3","0.87","NS",NA
"BTBD9",2.07,0.864,2.1,0.86,"2.1","0.86","NS",NA
"BTF3",-0.516,0.863,-0.5,0.86,"-0.5","0.86","NS",NA
"BTF3L4",-0.526,0.866,-0.5,0.87,"-0.5","0.87","NS",NA
"C11orf54",-0.536,0.841,-0.5,0.84,"-0.5","0.84","NS",NA
"C1orf122",-0.65,0.749,-0.7,0.75,"-0.7","0.75","NS",NA
"C1orf159",-0.59,0.778,-0.6,0.78,"-0.6","0.78","NS",NA
"C1orf198",-0.546,0.292,-0.5,0.29,"-0.5","0.29","NS",NA
"C1orf43",-0.0777,0.959,-0.1,0.96,"-0.1","0.96","NS",NA
"C1orf50",-0.567,0.475,-0.6,0.48,"-0.6","0.48","NS",NA
"C1orf52",-0.0557,0.969,-0.1,0.97,"-0.1","0.97","NS",NA
"C2orf49",-0.00897,0.972,0,0.97,"-0.0","0.97","NS",NA
"C4A",-2.32,0.0187,-2.3,0.02,"-2.3","0.02","Down",NA
"C4BPA",2.25,0.279,2.2,0.28,"2.2","0.28","NS",NA
"C6orf89",-0.0346,0.971,0,0.97,"-0.0","0.97","NS",NA
"C8orf88",-0.156,0.968,-0.2,0.97,"-0.2","0.97","NS",NA
"C9orf40",-0.487,0.894,-0.5,0.89,"-0.5","0.89","NS",NA
"C9orf72",0.0459,0.972,0,0.97,"0.0","0.97","NS",NA
"C9orf78",-0.271,0.893,-0.3,0.89,"-0.3","0.89","NS",NA
"CAAP1",-0.291,0.743,-0.3,0.74,"-0.3","0.74","NS",NA
"CABIN1",-0.091,0.97,-0.1,0.97,"-0.1","0.97","NS",NA
"CABLES1",-0.304,0.946,-0.3,0.95,"-0.3","0.95","NS",NA
"CACNB3",-0.0416,0.967,0,0.97,"-0.0","0.97","NS",NA
"CACYBP",-0.112,0.952,-0.1,0.95,"-0.1","0.95","NS",NA
"CALCOCO2",-0.608,0.331,-0.6,0.33,"-0.6","0.33","NS",NA
"CAPG",-0.208,0.928,-0.2,0.93,"-0.2","0.93","NS",NA
"CAPRIN1",-0.659,0.465,-0.7,0.47,"-0.7","0.47","NS",NA
"CAPZB",-0.000993,0.972,0,0.97,"-0.0","0.97","NS",NA
