"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ATP6V0A2",0.073,0.85,0.1,0.85,"0.1","0.85","NS",NA
"ATP6V0D2",7.27,2.67e-14,7.3,0,"7.3","<0.01","Up",NA
"ATP6V1D",0.00122,0.907,0,0.91,"0.0","0.91","NS",NA
"ATP7A",-0.234,0.825,-0.2,0.82,"-0.2","0.82","NS",NA
"ATP9A",0.109,0.888,0.1,0.89,"0.1","0.89","NS",NA
"ATR",0.158,0.844,0.2,0.84,"0.2","0.84","NS",NA
"ATXN2L",-0.119,0.806,-0.1,0.81,"-0.1","0.81","NS",NA
"ATXN7",-0.413,0.728,-0.4,0.73,"-0.4","0.73","NS",NA
"ATXN7L3B",0.235,0.346,0.2,0.35,"0.2","0.35","NS",NA
"B3GALNT2",-0.384,0.843,-0.4,0.84,"-0.4","0.84","NS",NA
"B4GALT5",0.0506,0.887,0.1,0.89,"0.1","0.89","NS",NA
"B4GALT6",-1.15,0.00188,-1.1,0,"-1.1","<0.01","Down",NA
"B4GALT7",-0.199,0.65,-0.2,0.65,"-0.2","0.65","NS",NA
"B9D1",-5.56,2.67e-14,-5.6,0,"-5.6","<0.01","Down",NA
"BACE1",2.49,3.95e-05,2.5,0,"2.5","<0.01","Up",NA
"BACH2",-0.263,0.728,-0.3,0.73,"-0.3","0.73","NS",NA
"BAD",-0.117,0.857,-0.1,0.86,"-0.1","0.86","NS",NA
"BAG1",-0.0673,0.859,-0.1,0.86,"-0.1","0.86","NS",NA
"BAG4",0.106,0.846,0.1,0.85,"0.1","0.85","NS",NA
"BAMBI",-0.0341,0.902,0,0.9,"-0.0","0.90","NS",NA
"BCAT1",-0.146,0.854,-0.1,0.85,"-0.1","0.85","NS",NA
"BCKDHB",-0.357,0.203,-0.4,0.2,"-0.4","0.20","NS",NA
"BCKDK",0.0453,0.86,0,0.86,"0.0","0.86","NS",NA
"BCL10",-0.329,0.567,-0.3,0.57,"-0.3","0.57","NS",NA
"BCL11B",-0.411,0.256,-0.4,0.26,"-0.4","0.26","NS",NA
"BCL2",-0.213,0.686,-0.2,0.69,"-0.2","0.69","NS",NA
"BCL2L1",-0.162,0.81,-0.2,0.81,"-0.2","0.81","NS",NA
"BCL2L12",6.05,2.67e-14,6,0,"6.0","<0.01","Up",NA
"BCL9L",-0.333,0.466,-0.3,0.47,"-0.3","0.47","NS",NA
"BCOR",-0.241,0.244,-0.2,0.24,"-0.2","0.24","NS",NA
"BDH1",0.257,0.883,0.3,0.88,"0.3","0.88","NS",NA
"BIN1",-0.215,0.647,-0.2,0.65,"-0.2","0.65","NS",NA
"BIRC2",-0.0319,0.888,0,0.89,"-0.0","0.89","NS",NA
"BLM",0.0409,0.863,0,0.86,"0.0","0.86","NS",NA
"BLOC1S1",0.0482,0.889,0,0.89,"0.0","0.89","NS",NA
"BLOC1S4",-0.256,0.413,-0.3,0.41,"-0.3","0.41","NS",NA
"BLOC1S6",-0.159,0.834,-0.2,0.83,"-0.2","0.83","NS",NA
"BMP2",-3.78,0.000146,-3.8,0,"-3.8","<0.01","Down",NA
"BMP4",0.247,0.841,0.2,0.84,"0.2","0.84","NS",NA
"BMPR1A",-0.574,0.753,-0.6,0.75,"-0.6","0.75","NS",NA
"BMPR2",-0.387,0.847,-0.4,0.85,"-0.4","0.85","NS",NA
"BNIP3",-6.54,2.67e-14,-6.5,0,"-6.5","<0.01","Down",NA
"BOD1",-0.409,0.553,-0.4,0.55,"-0.4","0.55","NS",NA
"BOLA2B",0.219,0.393,0.2,0.39,"0.2","0.39","NS",NA
"BORCS6",0.0415,0.884,0,0.88,"0.0","0.88","NS",NA
"BPGM",-0.132,0.75,-0.1,0.75,"-0.1","0.75","NS",NA
"BPHL",-0.0513,0.87,-0.1,0.87,"-0.1","0.87","NS",NA
"BPNT2",-0.466,0.0097,-0.5,0.01,"-0.5","<0.01","NS",NA
"BRI3",-1.47,8.85e-08,-1.5,0,"-1.5","<0.01","Down",NA
"BRI3BP",0.021,0.89,0,0.89,"0.0","0.89","NS",NA
"BRWD1",0.185,0.694,0.2,0.69,"0.2","0.69","NS",NA
"BRWD3",-0.0105,0.904,0,0.9,"-0.0","0.90","NS",NA
"BSN",0.178,0.81,0.2,0.81,"0.2","0.81","NS",NA
"BTBD2",0.052,0.872,0.1,0.87,"0.1","0.87","NS",NA
"BTBD8",-0.203,0.686,-0.2,0.69,"-0.2","0.69","NS",NA
"BTBD9",4.87,0.000167,4.9,0,"4.9","<0.01","Up",NA
"BTF3",0.11,0.869,0.1,0.87,"0.1","0.87","NS",NA
"BTF3L4",0.104,0.874,0.1,0.87,"0.1","0.87","NS",NA
"C11orf54",-0.548,0.276,-0.5,0.28,"-0.5","0.28","NS",NA
"C1orf122",-0.534,0.309,-0.5,0.31,"-0.5","0.31","NS",NA
"C1orf159",1.46,1.56e-07,1.5,0,"1.5","<0.01","Up",NA
"C1orf198",-0.133,0.783,-0.1,0.78,"-0.1","0.78","NS",NA
"C1orf43",0.0571,0.864,0.1,0.86,"0.1","0.86","NS",NA
"C1orf50",-0.0133,0.903,0,0.9,"-0.0","0.90","NS",NA
"C1orf52",-0.0904,0.881,-0.1,0.88,"-0.1","0.88","NS",NA
"C2orf49",-0.0847,0.843,-0.1,0.84,"-0.1","0.84","NS",NA
"C4A",0.511,0.715,0.5,0.72,"0.5","0.72","NS",NA
"C4BPA",-0.983,0.499,-1,0.5,"-1.0","0.50","NS",NA
"C6orf89",-0.179,0.853,-0.2,0.85,"-0.2","0.85","NS",NA
"C8orf88",2.24,0.00584,2.2,0.01,"2.2","<0.01","Up",NA
"C9orf40",-0.268,0.772,-0.3,0.77,"-0.3","0.77","NS",NA
"C9orf72",-3.74,0.0129,-3.7,0.01,"-3.7","0.01","Down",NA
"C9orf78",0.00748,0.905,0,0.9,"0.0","0.90","NS",NA
"CAAP1",-0.0232,0.892,0,0.89,"-0.0","0.89","NS",NA
"CABIN1",-0.156,0.884,-0.2,0.88,"-0.2","0.88","NS",NA
"CABLES1",-0.313,0.747,-0.3,0.75,"-0.3","0.75","NS",NA
"CACNB3",-0.0744,0.843,-0.1,0.84,"-0.1","0.84","NS",NA
"CACYBP",0.0403,0.882,0,0.88,"0.0","0.88","NS",NA
"CALCOCO2",0.171,0.753,0.2,0.75,"0.2","0.75","NS",NA
"CAPG",-0.0509,0.88,-0.1,0.88,"-0.1","0.88","NS",NA
"CAPRIN1",-0.281,0.614,-0.3,0.61,"-0.3","0.61","NS",NA
"CAPZB",0.0269,0.887,0,0.89,"0.0","0.89","NS",NA
"CARMIL1",-0.288,0.43,-0.3,0.43,"-0.3","0.43","NS",NA
"CARMIL2",-0.184,0.773,-0.2,0.77,"-0.2","0.77","NS",NA
"CAST",0.043,0.895,0,0.9,"0.0","0.90","NS",NA
"CASTOR2",3.26,2.67e-14,3.3,0,"3.3","<0.01","Up",NA
"CBR1",0.000237,0.908,0,0.91,"0.0","0.91","NS",NA
"CBX7",-2.13,0.0269,-2.1,0.03,"-2.1","0.03","Down",NA
"CBY1",0.212,0.73,0.2,0.73,"0.2","0.73","NS",NA
"CCDC106",-0.261,0.339,-0.3,0.34,"-0.3","0.34","NS",NA
"CCDC120",0.731,0.669,0.7,0.67,"0.7","0.67","NS",NA
"CCDC124",0.207,0.794,0.2,0.79,"0.2","0.79","NS",NA
"CCDC138",1.26,0.518,1.3,0.52,"1.3","0.52","NS",NA
"CCDC158",-0.255,0.861,-0.3,0.86,"-0.3","0.86","NS",NA
"CCDC174",-0.0678,0.866,-0.1,0.87,"-0.1","0.87","NS",NA
"CCDC18",0.29,0.569,0.3,0.57,"0.3","0.57","NS",NA
"CCDC186",-0.0113,0.901,0,0.9,"-0.0","0.90","NS",NA
"CCDC28A",-0.299,0.695,-0.3,0.7,"-0.3","0.70","NS",NA
"CCDC28B",-0.136,0.877,-0.1,0.88,"-0.1","0.88","NS",NA
"CCDC43",0.0194,0.9,0,0.9,"0.0","0.90","NS",NA
"CCDC6",-0.0931,0.859,-0.1,0.86,"-0.1","0.86","NS",NA
"CCDC82",-0.359,0.875,-0.4,0.88,"-0.4","0.88","NS",NA
"CCK",0.304,0.845,0.3,0.84,"0.3","0.84","NS",NA
"CCN1",0.587,0.53,0.6,0.53,"0.6","0.53","NS",NA
"CCN2",0.623,0.717,0.6,0.72,"0.6","0.72","NS",NA
"CCNQ",-1.55,0.324,-1.6,0.32,"-1.6","0.32","NS",NA
"CCNYL1",-0.0954,0.875,-0.1,0.88,"-0.1","0.88","NS",NA
"CCPG1",0.102,0.844,0.1,0.84,"0.1","0.84","NS",NA
"CD151",0.0536,0.882,0.1,0.88,"0.1","0.88","NS",NA
"CD2AP",-0.127,0.774,-0.1,0.77,"-0.1","0.77","NS",NA
"CD40",-0.214,0.888,-0.2,0.89,"-0.2","0.89","NS",NA
"CD81",0.256,0.611,0.3,0.61,"0.3","0.61","NS",NA
"CD83",0.852,0.237,0.9,0.24,"0.9","0.24","NS",NA
"CD84",-4.57,4.38e-11,-4.6,0,"-4.6","<0.01","Down",NA
"CD9",0.159,0.846,0.2,0.85,"0.2","0.85","NS",NA
"CD99",-4.33,2.09e-05,-4.3,0,"-4.3","<0.01","Down",NA
"CDC123",0.221,0.175,0.2,0.17,"0.2","0.17","NS",NA
"CDC16",-0.101,0.891,-0.1,0.89,"-0.1","0.89","NS",NA
"CDC37",-0.118,0.796,-0.1,0.8,"-0.1","0.80","NS",NA
"CDC42EP1",0.0107,0.903,0,0.9,"0.0","0.90","NS",NA
"CDC42EP4",-0.107,0.838,-0.1,0.84,"-0.1","0.84","NS",NA
"CDCA7L",-0.358,0.0348,-0.4,0.03,"-0.4","0.03","NS",NA
"CDK11A",0.57,0.703,0.6,0.7,"0.6","0.70","NS",NA
"CDK16",0.117,0.861,0.1,0.86,"0.1","0.86","NS",NA
"CDK19",-0.096,0.881,-0.1,0.88,"-0.1","0.88","NS",NA
"CDKN1A",-0.211,0.676,-0.2,0.68,"-0.2","0.68","NS",NA
"CDKN2A",0.0828,0.824,0.1,0.82,"0.1","0.82","NS",NA
"CDT1",-0.197,0.646,-0.2,0.65,"-0.2","0.65","NS",NA
"CDV3",-0.111,0.868,-0.1,0.87,"-0.1","0.87","NS",NA
"CEBPZOS",-0.0182,0.903,0,0.9,"-0.0","0.90","NS",NA
"CENPF",-0.154,0.764,-0.2,0.76,"-0.2","0.76","NS",NA
"CENPW",-1.36,3.48e-09,-1.4,0,"-1.4","<0.01","Down",NA
"CEP170",-0.0495,0.872,0,0.87,"-0.0","0.87","NS",NA
"CEP170B",0.0662,0.85,0.1,0.85,"0.1","0.85","NS",NA
"CEP41",-0.168,0.523,-0.2,0.52,"-0.2","0.52","NS",NA
"CEP63",-0.246,0.795,-0.2,0.8,"-0.2","0.80","NS",NA
"CEP68",0.0414,0.896,0,0.9,"0.0","0.90","NS",NA
"CEP85",-0.159,0.795,-0.2,0.8,"-0.2","0.80","NS",NA
"CEP85L",-0.306,0.808,-0.3,0.81,"-0.3","0.81","NS",NA
"CES3",0.0258,0.896,0,0.9,"0.0","0.90","NS",NA
"CFAP298",-0.116,0.757,-0.1,0.76,"-0.1","0.76","NS",NA
"CFAP97",-0.54,0.0568,-0.5,0.06,"-0.5","0.06","NS",NA
"CFDP1",-0.0629,0.881,-0.1,0.88,"-0.1","0.88","NS",NA
"CFL1",-0.0942,0.775,-0.1,0.78,"-0.1","0.78","NS",NA
"CHCHD4",1.34,0.0439,1.3,0.04,"1.3","0.04","Up",NA
"CHKA",4.82,6.39e-12,4.8,0,"4.8","<0.01","Up",NA
"CHMP4A",0.0825,0.876,0.1,0.88,"0.1","0.88","NS",NA
"CHMP4C",0.159,0.795,0.2,0.8,"0.2","0.80","NS",NA
"CHN1",2.93,4.26e-11,2.9,0,"2.9","<0.01","Up",NA
"CHORDC1",0.0852,0.841,0.1,0.84,"0.1","0.84","NS",NA
"CHPF",4.42,4.7e-08,4.4,0,"4.4","<0.01","Up",NA
"CHPF2",2.96,5.98e-07,3,0,"3.0","<0.01","Up",NA
"CHSY1",-0.255,0.361,-0.3,0.36,"-0.3","0.36","NS",NA
"CHURC1",0.152,0.65,0.2,0.65,"0.2","0.65","NS",NA
"CILP",0.307,0.58,0.3,0.58,"0.3","0.58","NS",NA
"CIRBP",-0.111,0.807,-0.1,0.81,"-0.1","0.81","NS",NA
"CISD1",-0.053,0.859,-0.1,0.86,"-0.1","0.86","NS",NA
"CKB",-0.188,0.828,-0.2,0.83,"-0.2","0.83","NS",NA
"CKS1B",-0.14,0.78,-0.1,0.78,"-0.1","0.78","NS",NA
"CKS2",-0.112,0.802,-0.1,0.8,"-0.1","0.80","NS",NA
"CLASP2",-0.12,0.724,-0.1,0.72,"-0.1","0.72","NS",NA
"CLCN3",-0.074,0.891,-0.1,0.89,"-0.1","0.89","NS",NA
"CLDND1",0.337,0.61,0.3,0.61,"0.3","0.61","NS",NA
"CLIP1",0.0776,0.878,0.1,0.88,"0.1","0.88","NS",NA
"CLK3",0.129,0.736,0.1,0.74,"0.1","0.74","NS",NA
"CLN6",-0.805,0.538,-0.8,0.54,"-0.8","0.54","NS",NA
"CLOCK",0.197,0.875,0.2,0.88,"0.2","0.88","NS",NA
"CLTCL1",4.92,2.67e-14,4.9,0,"4.9","<0.01","Up",NA
"CLU",-0.229,0.414,-0.2,0.41,"-0.2","0.41","NS",NA
"CMBL",0.118,0.84,0.1,0.84,"0.1","0.84","NS",NA
"CMTM6",-5.69,6.53e-11,-5.7,0,"-5.7","<0.01","Down",NA
"CNBP",-1.16,0.132,-1.2,0.13,"-1.2","0.13","NS",NA
"CNEP1R1",-0.106,0.895,-0.1,0.9,"-0.1","0.90","NS",NA
"CNN2",0.0298,0.889,0,0.89,"0.0","0.89","NS",NA
"CNN3",-0.17,0.51,-0.2,0.51,"-0.2","0.51","NS",NA
"CNOT3",-0.123,0.802,-0.1,0.8,"-0.1","0.80","NS",NA
"CNOT4",-0.0603,0.851,-0.1,0.85,"-0.1","0.85","NS",NA
"CNOT8",0.108,0.848,0.1,0.85,"0.1","0.85","NS",NA
"CNOT9",0.0252,0.898,0,0.9,"0.0","0.90","NS",NA
"CNRIP1",0.0405,0.881,0,0.88,"0.0","0.88","NS",NA
"COCH",-0.327,0.847,-0.3,0.85,"-0.3","0.85","NS",NA
"COL1A1",-0.0653,0.886,-0.1,0.89,"-0.1","0.89","NS",NA
"COL4A6",-0.0491,0.866,0,0.87,"-0.0","0.87","NS",NA
"COLEC12",-0.0657,0.859,-0.1,0.86,"-0.1","0.86","NS",NA
"COMMD3",-0.0462,0.877,0,0.88,"-0.0","0.88","NS",NA
"COMMD5",0.114,0.866,0.1,0.87,"0.1","0.87","NS",NA
"COMMD6",0.23,0.597,0.2,0.6,"0.2","0.60","NS",NA
"COMMD8",0.403,0.705,0.4,0.7,"0.4","0.70","NS",NA
"COMMD9",0.108,0.708,0.1,0.71,"0.1","0.71","NS",NA
"COPS5",0.0293,0.894,0,0.89,"0.0","0.89","NS",NA
"COQ5",0.28,0.182,0.3,0.18,"0.3","0.18","NS",NA
"COQ6",-1.44,0.607,-1.4,0.61,"-1.4","0.61","NS",NA
"COQ9",0.273,0.223,0.3,0.22,"0.3","0.22","NS",NA
"COX6A1",-0.211,0.824,-0.2,0.82,"-0.2","0.82","NS",NA
"COX7A2L",-0.0707,0.848,-0.1,0.85,"-0.1","0.85","NS",NA
"CPNE8",-0.164,0.414,-0.2,0.41,"-0.2","0.41","NS",NA
"CPT2",-0.118,0.798,-0.1,0.8,"-0.1","0.80","NS",NA
"CRABP2",-1.04,0.0519,-1,0.05,"-1.0","0.05","Down",NA
"CRBN",-0.284,0.702,-0.3,0.7,"-0.3","0.70","NS",NA
"CREB1",0.0067,0.905,0,0.9,"0.0","0.90","NS",NA
"CREM",-2.67,0.0153,-2.7,0.02,"-2.7","0.02","Down",NA
"CRIM1",-0.273,0.729,-0.3,0.73,"-0.3","0.73","NS",NA
"CRK",0.12,0.604,0.1,0.6,"0.1","0.60","NS",NA
"CRKL",-0.114,0.79,-0.1,0.79,"-0.1","0.79","NS",NA
"CRYGD",-0.145,0.856,-0.1,0.86,"-0.1","0.86","NS",NA
"CS",0.00179,0.907,0,0.91,"0.0","0.91","NS",NA
"CSNK1G2",-0.313,0.522,-0.3,0.52,"-0.3","0.52","NS",NA
"CSNK2A1",-0.0755,0.831,-0.1,0.83,"-0.1","0.83","NS",NA
"CSPG4",0.0175,0.905,0,0.9,"0.0","0.90","NS",NA
"CSPG5",-4.62,4.15e-08,-4.6,0,"-4.6","<0.01","Down",NA
"CSRP2",-0.303,0.742,-0.3,0.74,"-0.3","0.74","NS",NA
