"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"NFKBIB",0.432,0.153552846186296,0.4,0.15,"0.4","0.15","NS",NA
"NFKBIL1",0.287,0.504443580480742,0.3,0.5,"0.3","0.50","NS",NA
"NFRKB",0.627,0.00129482322545144,0.6,0,"0.6","<0.01","NS",NA
"NFS1",-0.288,0.270113893347316,-0.3,0.27,"-0.3","0.27","NS",NA
"NFU1",1.32,0.000570039919073974,1.3,0,"1.3","<0.01","Up",NA
"NFX1",0.554,0.161553548298496,0.6,0.16,"0.6","0.16","NS",NA
"NFXL1",-0.226,0.506827298992775,-0.2,0.51,"-0.2","0.51","NS",NA
"NFYA",0.897,0.184534748572706,0.9,0.18,"0.9","0.18","NS",NA
"NFYB",1.29,0.0285041598399558,1.3,0.03,"1.3","0.03","NS",NA
"NFYC",-0.026,0.971464783232787,0,0.97,"-0.0","0.97","NS",NA
"NGDN",0.747,0.00473505233291294,0.7,0,"0.7","<0.01","NS",NA
"NGLY1",-0.563,0.00460635565959995,-0.6,0,"-0.6","<0.01","NS",NA
"NGRN",0.847,0.0807156769420129,0.8,0.08,"0.8","0.08","NS",NA
"NHEJ1",0.792,0.0241861426961906,0.8,0.02,"0.8","0.02","NS",NA
"NHERF1",-0.0839,0.944685386384933,-0.1,0.94,"-0.1","0.94","NS",NA
"NHERF2",1.25,0.00125160615090761,1.2,0,"1.2","<0.01","Up",NA
"NHLRC2",0.0784,0.84627700377202,0.1,0.85,"0.1","0.85","NS",NA
"NHLRC3",0.193,0.845249713203239,0.2,0.85,"0.2","0.85","NS",NA
"NHP2",1.08,0.0349441551267723,1.1,0.03,"1.1","0.03","NS",NA
"NHSL1",1.16,0.00952537814465389,1.2,0.01,"1.2","<0.01","Up",NA
"NHSL3",1.11,0.00136899237140722,1.1,0,"1.1","<0.01","Up",NA
"NIBAN1",0.59,0.750507645057896,0.6,0.75,"0.6","0.75","NS",NA
"NIBAN2",0.538,0.113271318005372,0.5,0.11,"0.5","0.11","NS",NA
"NID1",-0.375,0.104374944972308,-0.4,0.1,"-0.4","0.10","NS",NA
"NIF3L1",-0.37,0.380609058212613,-0.4,0.38,"-0.4","0.38","NS",NA
"NIFK",0.255,0.665936282263136,0.3,0.67,"0.3","0.67","NS",NA
"NIN",0.669,0.287067807987076,0.7,0.29,"0.7","0.29","NS",NA
"NIP7",0.29,0.611360404618088,0.3,0.61,"0.3","0.61","NS",NA
"NIPSNAP1",-0.00597,0.990247539644534,0,0.99,"-0.0","0.99","NS",NA
"NIPSNAP2",0.0507,0.86050316232293,0.1,0.86,"0.1","0.86","NS",NA
"NIPSNAP3A",1.37,0.0391404490534566,1.4,0.04,"1.4","0.04","NS",NA
"NISCH",-0.299,0.537402372427006,-0.3,0.54,"-0.3","0.54","NS",NA
"NIT1",0.188,0.840861589373232,0.2,0.84,"0.2","0.84","NS",NA
"NIT2",-0.446,0.0329512127419621,-0.4,0.03,"-0.4","0.03","NS",NA
"NKAP",0.389,0.326380155973437,0.4,0.33,"0.4","0.33","NS",NA
"NKAPD1",-0.137,0.873529668843087,-0.1,0.87,"-0.1","0.87","NS",NA
"NKD2",0.314,0.455200280764399,0.3,0.46,"0.3","0.46","NS",NA
"NKIRAS1",-0.927,8.11467106252314e-05,-0.9,0,"-0.9","<0.01","NS",NA
"NKIRAS2",-0.0684,0.833606991019347,-0.1,0.83,"-0.1","0.83","NS",NA
"NKRF",0.45,0.0359457478661875,0.4,0.04,"0.4","0.04","NS",NA
"NKTR",0.388,0.36802095246946,0.4,0.37,"0.4","0.37","NS",NA
"NKX2-5",0.0858,0.917274817091701,0.1,0.92,"0.1","0.92","NS",NA
"NLE1",0.245,0.594505657141013,0.2,0.59,"0.2","0.59","NS",NA
"NLN",0.168,0.838188412470751,0.2,0.84,"0.2","0.84","NS",NA
"NMD3",0.0185,0.983902350959358,0,0.98,"0.0","0.98","NS",NA
"NME1",-0.981,0.126808321580165,-1,0.13,"-1.0","0.13","NS",NA
"NME2",-0.548,0.499733458728052,-0.5,0.5,"-0.5","0.50","NS",NA
"NME2P1",-0.287,0.743569888386892,-0.3,0.74,"-0.3","0.74","NS",NA
"NME3",-0.349,0.423674277415658,-0.3,0.42,"-0.3","0.42","NS",NA
"NME4",0.497,0.0917204130958608,0.5,0.09,"0.5","0.09","NS",NA
"NME6",-0.169,0.470568541391785,-0.2,0.47,"-0.2","0.47","NS",NA
"NME7",-0.291,0.398331669893153,-0.3,0.4,"-0.3","0.40","NS",NA
"NMI",-3.29,0.01670481819941,-3.3,0.02,"-3.3","0.02","NS",NA
"NMNAT1",-0.225,0.780632782677109,-0.2,0.78,"-0.2","0.78","NS",NA
"NMRAL1",-0.01,0.982196443799373,0,0.98,"-0.0","0.98","NS",NA
"NMRK1",0.0254,0.979995055710219,0,0.98,"0.0","0.98","NS",NA
"NMT1",0.0458,0.905003099295134,0,0.91,"0.0","0.91","NS",NA
"NMT2",0.409,0.174817256666516,0.4,0.17,"0.4","0.17","NS",NA
"NMU",-2.84,0.0100255915895271,-2.8,0.01,"-2.8","0.01","NS",NA
"NNT",0.412,0.538558080774729,0.4,0.54,"0.4","0.54","NS",NA
"NOA1",-0.00528,0.99199094427184,0,0.99,"-0.0","0.99","NS",NA
"NOB1",0.0419,0.923105375146327,0,0.92,"0.0","0.92","NS",NA
"NOC2L",1.12,0.0937366270208536,1.1,0.09,"1.1","0.09","NS",NA
"NOC3L",1.11,0.00111076456126777,1.1,0,"1.1","<0.01","Up",NA
"NOC4L",1.1,0.0690729051826102,1.1,0.07,"1.1","0.07","NS",NA
"NOL10",1.01,0.0314003149588276,1,0.03,"1.0","0.03","NS",NA
"NOL11",1.18,0.0127407997585296,1.2,0.01,"1.2","0.01","NS",NA
"NOL12",0.309,0.503100090721751,0.3,0.5,"0.3","0.50","NS",NA
"NOL4L",5.57,0.000194553626393474,5.6,0,"5.6","<0.01","Up",NA
"NOL6",0.891,0.0144318745390969,0.9,0.01,"0.9","0.01","NS",NA
"NOL7",0.72,0.141778466880997,0.7,0.14,"0.7","0.14","NS",NA
"NOL8",1.04,0.000111644697229443,1,0,"1.0","<0.01","Up",NA
"NOL9",0.848,0.00718137674870766,0.8,0.01,"0.8","<0.01","NS",NA
"NOLC1",1.03,0.0479417991971247,1,0.05,"1.0","0.05","NS",NA
"NOM1",0.475,0.328787632101718,0.5,0.33,"0.5","0.33","NS",NA
"NOMO1",-0.0263,0.956292266049762,0,0.96,"-0.0","0.96","NS",NA
"NOMO2",0.109,0.684946678995847,0.1,0.68,"0.1","0.68","NS",NA
"NONO",0.297,0.429779121309369,0.3,0.43,"0.3","0.43","NS",NA
"NOP10",0.72,0.244555536704643,0.7,0.24,"0.7","0.24","NS",NA
"NOP14",1.03,0.000300576276086418,1,0,"1.0","<0.01","Up",NA
"NOP16",0.709,0.202316692042381,0.7,0.2,"0.7","0.20","NS",NA
"NOP2",0.464,0.300836674639624,0.5,0.3,"0.5","0.30","NS",NA
"NOP53",-0.00896,0.99075657492749,0,0.99,"-0.0","0.99","NS",NA
"NOP56",0.99,0.00299423774325074,1,0,"1.0","<0.01","NS",NA
"NOP58",0.859,0.0351867830355722,0.9,0.04,"0.9","0.04","NS",NA
