"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ATXN7L3B",-1.21,0.00607,-1.2,0.01,"-1.2","<0.01","Down",NA
"B3GALNT2",2.51,0.22,2.5,0.22,"2.5","0.22","NS",NA
"B4GALT5",0.499,0.331,0.5,0.33,"0.5","0.33","NS",NA
"B4GALT6",-0.0277,0.536,0,0.54,"-0.0","0.54","NS",NA
"B4GALT7",1.1,0.0494,1.1,0.05,"1.1","0.05","Up",NA
"B9D1",5.18,2.75e-07,5.2,0,"5.2","<0.01","Up",NA
"BACE1",-0.719,0.428,-0.7,0.43,"-0.7","0.43","NS",NA
"BACH2",0.361,0.421,0.4,0.42,"0.4","0.42","NS",NA
"BAD",-1.67,0.0477,-1.7,0.05,"-1.7","0.05","Down",NA
"BAG1",-1.89,4.93e-05,-1.9,0,"-1.9","<0.01","Down",NA
"BAG4",-1.46,0.029,-1.5,0.03,"-1.5","0.03","Down",NA
"BAMBI",0.485,0.45,0.5,0.45,"0.5","0.45","NS",NA
"BCAT1",-2.34,0.0206,-2.3,0.02,"-2.3","0.02","Down",NA
"BCKDHB",-1.3,0.0206,-1.3,0.02,"-1.3","0.02","Down",NA
"BCKDK",1.58,3.44e-07,1.6,0,"1.6","<0.01","Up",NA
"BCL10",-1.71,0.0349,-1.7,0.03,"-1.7","0.03","Down",NA
"BCL11B",-1.39,0.0438,-1.4,0.04,"-1.4","0.04","Down",NA
"BCL2",1.77,0.0062,1.8,0.01,"1.8","<0.01","Up",NA
"BCL2L1",2.04,0.0081,2,0.01,"2.0","<0.01","Up",NA
"BCL2L12",6.82,2.32e-06,6.8,0,"6.8","<0.01","Up",NA
"BCL9L",-1.44,0.0464,-1.4,0.05,"-1.4","0.05","Down",NA
"BCOR",-0.311,0.306,-0.3,0.31,"-0.3","0.31","NS",NA
"BDH1",6.35,0.0455,6.3,0.05,"6.3","0.05","Up",NA
"BIN1",-1.37,0.0228,-1.4,0.02,"-1.4","0.02","Down",NA
"BIRC2",-4.67,3.36e-14,-4.7,0,"-4.7","<0.01","Down",NA
"BLM",0.0227,0.525,0,0.52,"0.0","0.52","NS",NA
"BLOC1S1",-1.64,0.0271,-1.6,0.03,"-1.6","0.03","Down",NA
"BLOC1S4",-1.45,0.00557,-1.4,0.01,"-1.4","<0.01","Down",NA
"BLOC1S6",-2,0.0259,-2,0.03,"-2.0","0.03","Down",NA
"BMP2",-0.662,0.482,-0.7,0.48,"-0.7","0.48","NS",NA
"BMP4",-1.01,0.336,-1,0.34,"-1.0","0.34","NS",NA
