"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"DPM3",0.482,0.458198993120899,0.5,0.46,"0.5","0.46","NS",NA
"EDIL3",1.56,0.499940923650687,1.6,0.5,"1.6","0.50","NS",NA
"EEF1AKMT1",5.7,0.00057207577619759,5.7,0,"5.7","<0.01","Up",NA
"EEF1G",-0.298,0.495678063885283,-0.3,0.5,"-0.3","0.50","NS",NA
"EFNA5",5.12,2.81135203116522e-06,5.1,0,"5.1","<0.01","Up",NA
"EFR3A",0.0417,0.991515217541184,0,0.99,"0.0","0.99","NS",NA
"EFR3B",1.07,0.863306023117719,1.1,0.86,"1.1","0.86","NS",NA
"EGLN3",4.73,0.0724710897766199,4.7,0.07,"4.7","0.07","NS",NA
"EGR1",-3.35,0.00196026778541064,-3.4,0,"-3.4","<0.01","Down",NA
"EHD3",-4.33,0.00861711478506512,-4.3,0.01,"-4.3","<0.01","Down",NA
"EIF1",-0.205,0.882707492038362,-0.2,0.88,"-0.2","0.88","NS",NA
"EIF1B",-0.27,0.748014723556899,-0.3,0.75,"-0.3","0.75","NS",NA
"EIF3C",-0.334,0.913491807016056,-0.3,0.91,"-0.3","0.91","NS",NA
"EIF4ENIF1",0.199,0.814570197290198,0.2,0.81,"0.2","0.81","NS",NA
"EIF5",0.228,0.6952864550978,0.2,0.7,"0.2","0.70","NS",NA
"ELOF1",-0.727,0.764103033957366,-0.7,0.76,"-0.7","0.76","NS",NA
"ELOVL1",0.183,0.989223508332373,0.2,0.99,"0.2","0.99","NS",NA
"ELOVL5",3.03,0.134659093779084,3,0.13,"3.0","0.13","NS",NA
"ENDOD1",0.0161,0.994468912352257,0,0.99,"0.0","0.99","NS",NA
"ENKD1",1.34,0.0858385815822363,1.3,0.09,"1.3","0.09","NS",NA
"ENTPD6",4.76,9.80850066045656e-06,4.8,0,"4.8","<0.01","Up",NA
"ENTR1",-5.85,1.76891369148295e-05,-5.8,0,"-5.8","<0.01","Down",NA
"EPHA4",0.168,0.796051815349783,0.2,0.8,"0.2","0.80","NS",NA
"EPHA7",0.0514,0.977121738672114,0.1,0.98,"0.1","0.98","NS",NA
"ERAP1",0.254,0.856942496058738,0.3,0.86,"0.3","0.86","NS",NA
"ERBB2",0.319,0.866697009838121,0.3,0.87,"0.3","0.87","NS",NA
"ERC2",4.72,4.4085024763743e-05,4.7,0,"4.7","<0.01","Up",NA
"ERCC8",-0.656,0.89817155810144,-0.7,0.9,"-0.7","0.90","NS",NA
"ERP44",-0.126,0.872206376670538,-0.1,0.87,"-0.1","0.87","NS",NA
"ERRFI1",-0.372,0.896947261710406,-0.4,0.9,"-0.4","0.90","NS",NA
"ESRRA",0.516,0.209656413381676,0.5,0.21,"0.5","0.21","NS",NA
"ETAA1",0.0956,0.973348679606647,0.1,0.97,"0.1","0.97","NS",NA
"EVI5",0.101,0.961298129731124,0.1,0.96,"0.1","0.96","NS",NA
"F13A1",5.09,0.0144317122175369,5.1,0.01,"5.1","0.01","NS",NA
"F5",0.23,0.86138831897091,0.2,0.86,"0.2","0.86","NS",NA
"FAAP100",-0.556,0.828980407580494,-0.6,0.83,"-0.6","0.83","NS",NA
"FAM174A",-4.1,1.12937713391543e-06,-4.1,0,"-4.1","<0.01","Down",NA
"FAM174B",5.87,7.87266721189218e-05,5.9,0,"5.9","<0.01","Up",NA
"FAM199X",2.65,0.251034290877922,2.6,0.25,"2.6","0.25","NS",NA
"FAM234B",0.432,0.30676260382534,0.4,0.31,"0.4","0.31","NS",NA
"FAM3C",1.17,0.0238610791020397,1.2,0.02,"1.2","0.02","NS",NA
"FAM89A",0.468,0.591814602373733,0.5,0.59,"0.5","0.59","NS",NA
"FANCE",0.0404,0.984569478679405,0,0.98,"0.0","0.98","NS",NA
"FAT1",0.246,0.943688664665929,0.2,0.94,"0.2","0.94","NS",NA
"FBLIM1",-0.361,0.842189953945838,-0.4,0.84,"-0.4","0.84","NS",NA
"FBRSL1",0.45,0.408580733950164,0.4,0.41,"0.4","0.41","NS",NA
"FBXO2",5.43,0.0289323988560834,5.4,0.03,"5.4","0.03","NS",NA
"FBXO46",-3.8,0.0280025546475822,-3.8,0.03,"-3.8","0.03","NS",NA
"FDX2",2.23,0.626367867194918,2.2,0.63,"2.2","0.63","NS",NA
"FGFR3",5.19,0.000833037586733714,5.2,0,"5.2","<0.01","Up",NA
"FHL1",-0.00174,0.999676481786007,0,1,"-0.0","1.00","NS",NA
"FIP1L1",0.673,0.225080367831634,0.7,0.23,"0.7","0.23","NS",NA
"FKBPL",0.0073,0.997023031330301,0,1,"0.0","1.00","NS",NA
"FLT1",0.0141,0.994468912352257,0,0.99,"0.0","0.99","NS",NA
"FN1",5.64,4.58118651007408e-09,5.6,0,"5.6","<0.01","Up","FN1"
"FOS",-2.49,0.383407375055499,-2.5,0.38,"-2.5","0.38","NS",NA
"FOXD3",1.46,0.81533140675876,1.5,0.82,"1.5","0.82","NS",NA
"FPGS",-5.04,0.000726338153090361,-5,0,"-5.0","<0.01","Down",NA
"FRMD4A",-2.62,0.557379406678881,-2.6,0.56,"-2.6","0.56","NS",NA
"FTL",-0.749,0.514938113969718,-0.7,0.51,"-0.7","0.51","NS",NA
"FUNDC1",0.125,0.988447817688458,0.1,0.99,"0.1","0.99","NS",NA
"FURIN",3.37,0.00213768332521146,3.4,0,"3.4","<0.01","Up",NA
"FUT8",3.73,5.80740647329922e-05,3.7,0,"3.7","<0.01","Up",NA
"FXN",0.589,0.364120207218774,0.6,0.36,"0.6","0.36","NS",NA
"FZD7",0.447,0.881382985668457,0.4,0.88,"0.4","0.88","NS",NA
"FZD8",-1.19,0.899713462742921,-1.2,0.9,"-1.2","0.90","NS",NA
"GALNT10",3.78,0.033137539623296,3.8,0.03,"3.8","0.03","NS",NA
"GALNT13",5.1,0.134659093779084,5.1,0.13,"5.1","0.13","NS",NA
"GALNT4",-5.69,0.0933275655445569,-5.7,0.09,"-5.7","0.09","NS",NA
"GATA4",-0.00152,0.999676481786007,0,1,"-0.0","1.00","NS",NA
"GCNT1",0.344,0.934134714454495,0.3,0.93,"0.3","0.93","NS",NA
"GHITM",0.81,0.172116076938989,0.8,0.17,"0.8","0.17","NS",NA
"GINM1",-2.14,0.0236623693424121,-2.1,0.02,"-2.1","0.02","NS",NA
"GJA1",0.231,0.729112597088655,0.2,0.73,"0.2","0.73","NS",NA
"GJC1",0.109,0.970236302270314,0.1,0.97,"0.1","0.97","NS",NA
"GK",0.0128,0.99775335325124,0,1,"0.0","1.00","NS",NA
"GLRX",0.632,0.638287572592294,0.6,0.64,"0.6","0.64","NS",NA
"GLRX2",-0.34,0.866697009838121,-0.3,0.87,"-0.3","0.87","NS",NA
"GLT8D1",1.05,0.0461683513469482,1,0.05,"1.0","0.05","NS",NA
"GNAZ",-4.11,0.0865405579693318,-4.1,0.09,"-4.1","0.09","NS",NA
"GNB2",-0.0659,0.977095882811349,-0.1,0.98,"-0.1","0.98","NS",NA
"GNG5",0.618,0.618698125713306,0.6,0.62,"0.6","0.62","NS",NA
"GOLGA7",-0.132,0.892002290912886,-0.1,0.89,"-0.1","0.89","NS",NA
"GOLM1",1.22,0.0858385815822363,1.2,0.09,"1.2","0.09","NS",NA
"GON4L",0.178,0.839506266013499,0.2,0.84,"0.2","0.84","NS",NA
"GORASP1",0.991,0.356232939961872,1,0.36,"1.0","0.36","NS",NA
"GPBP1L1",0.201,0.840117498304946,0.2,0.84,"0.2","0.84","NS",NA
"GPC3",0.147,0.882339216706465,0.1,0.88,"0.1","0.88","NS",NA
"GPC6",-0.000823,0.999676481786007,0,1,"-0.0","1.00","NS",NA
"GPRC5C",-3.58,0.0644894661967567,-3.6,0.06,"-3.6","0.06","NS",NA
"GPRIN3",0.355,0.720713539332164,0.4,0.72,"0.4","0.72","NS",NA
"GRAMD4",3.76,0.36335554618433,3.8,0.36,"3.8","0.36","NS",NA
"GREB1L",1.17,0.696654807229672,1.2,0.7,"1.2","0.70","NS",NA
"GRIP1",0.145,0.967877694507565,0.1,0.97,"0.1","0.97","NS",NA
"GSTA4",-5.82,0.000417315903953614,-5.8,0,"-5.8","<0.01","Down",NA
"GTF3C1",0.389,0.26999843299362,0.4,0.27,"0.4","0.27","NS",NA
"GTF3C6",4.17,0.000355506117329458,4.2,0,"4.2","<0.01","Up",NA
"GUF1",0.377,0.43788609531192,0.4,0.44,"0.4","0.44","NS",NA
"GXYLT2",3.82,0.340577708591281,3.8,0.34,"3.8","0.34","NS",NA
"H1-6",5.18,0.00965713771541191,5.2,0.01,"5.2","<0.01","Up",NA
"HABP2",-3.75,0.0312849211819574,-3.8,0.03,"-3.8","0.03","NS",NA
"HAUS5",-0.00945,0.99775335325124,0,1,"-0.0","1.00","NS",NA
"HDAC8",0.0329,0.995554326598971,0,1,"0.0","1.00","NS",NA
"HDHD5",0.752,0.243965860494737,0.8,0.24,"0.8","0.24","NS",NA
"HERPUD1",-6.95,0.00183647228476137,-7,0,"-7.0","<0.01","Down",NA
"HERPUD2",0.499,0.619114288633961,0.5,0.62,"0.5","0.62","NS",NA
"HGFAC",3.66,1.51574102853749e-05,3.7,0,"3.7","<0.01","Up",NA
"HIGD2A",3.73,0.00040391267996523,3.7,0,"3.7","<0.01","Up",NA
"HLA-A",0.489,0.239814509149316,0.5,0.24,"0.5","0.24","NS",NA
"HMGCS1",-0.694,0.0140352291732017,-0.7,0.01,"-0.7","0.01","NS",NA
"HMGN3",-3.26,0.225080367831634,-3.3,0.23,"-3.3","0.23","NS",NA
"HMGN4",-0.0445,0.995554326598971,0,1,"-0.0","1.00","NS",NA
"HMMR",0.318,0.545015214678675,0.3,0.55,"0.3","0.55","NS",NA
"HMOX1",0.291,0.594594435986421,0.3,0.59,"0.3","0.59","NS",NA
"HMX1",2.14,0.171315670297986,2.1,0.17,"2.1","0.17","NS",NA
"HOXA6",-1.17,0.683634718125395,-1.2,0.68,"-1.2","0.68","NS",NA
"HOXB13",0.0417,0.977069334713656,0,0.98,"0.0","0.98","NS",NA
"HPCAL4",-0.479,0.9039770215505,-0.5,0.9,"-0.5","0.90","NS",NA
"HPRT1",0.0255,0.988447817688458,0,0.99,"0.0","0.99","NS",NA
"HPX",0.6,0.800499152712214,0.6,0.8,"0.6","0.80","NS",NA
"HSF2",-2.15,0.277793949922865,-2.1,0.28,"-2.1","0.28","NS",NA
"HSPA6",-0.731,0.939556993737073,-0.7,0.94,"-0.7","0.94","NS",NA
"HSPBAP1",5.95,0.0343147442858709,6,0.03,"6.0","0.03","NS",NA
"HTD2",2.59,0.617485632517578,2.6,0.62,"2.6","0.62","NS",NA
"HYAL2",-2,0.677441406615092,-2,0.68,"-2.0","0.68","NS",NA
"ICAM5",0.362,0.899713462742921,0.4,0.9,"0.4","0.90","NS",NA
"IER3IP1",5.68,0.000256914783122878,5.7,0,"5.7","<0.01","Up",NA
"IFI35",0.95,0.724094592658826,0.9,0.72,"0.9","0.72","NS",NA
"IFNAR1",0.643,0.359514650049874,0.6,0.36,"0.6","0.36","NS",NA
"IFNAR2",-1.63,0.720823854894026,-1.6,0.72,"-1.6","0.72","NS",NA
"IFNGR1",0.43,0.89817155810144,0.4,0.9,"0.4","0.90","NS",NA
"IFRD1",-1.16,0.0235276127091407,-1.2,0.02,"-1.2","0.02","NS",NA
"IFT27",-0.274,0.451255126957065,-0.3,0.45,"-0.3","0.45","NS",NA
"IFT57",-4.03,0.219683641189968,-4,0.22,"-4.0","0.22","NS",NA
"IFT81",0.0422,0.96605082227696,0,0.97,"0.0","0.97","NS",NA
"IGF2R",0.147,0.856144521339158,0.1,0.86,"0.1","0.86","NS",NA
"IKZF5",-3.5,0.338570301994078,-3.5,0.34,"-3.5","0.34","NS",NA
"IL13RA1",0.336,0.694781281004165,0.3,0.69,"0.3","0.69","NS",NA
"IL6ST",0.0546,0.988447817688458,0.1,0.99,"0.1","0.99","NS",NA
"ISL1",-2.11,0.0766727311047879,-2.1,0.08,"-2.1","0.08","NS",NA
"ISOC2",0.376,0.67326274376556,0.4,0.67,"0.4","0.67","NS",NA
