"name","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"PE O-38:4",0.215,0.095744189,0.2,0.1,"0.2","0.10","NS",NA
"PE O-38:5",0.192,0.221873157,0.2,0.22,"0.2","0.22","NS",NA
"PE O-38:6",-0.155,0.15229233,-0.2,0.15,"-0.2","0.15","NS",NA
"PE O-40:4",-0.0355,0.65745891,0,0.66,"-0.0","0.66","NS",NA
"PE O-40:5",0.119,0.379460447,0.1,0.38,"0.1","0.38","NS",NA
"PE O-40:6",0.13,0.261128688,0.1,0.26,"0.1","0.26","NS",NA
"PE(O-38:2)",-0.205,0.145875959,-0.2,0.15,"-0.2","0.15","NS",NA
"PE(O-40:2)",-0.15,0.150464747,-0.1,0.15,"-0.1","0.15","NS",NA
"PG 20:0",-0.282,0.098947271,-0.3,0.1,"-0.3","0.10","NS",NA
"PG 34:1",0.138,0.255348721,0.1,0.26,"0.1","0.26","NS",NA
"PG 34:4",-0.47,0.00375448,-0.5,0,"-0.5","<0.01","Down",NA
"PG 36:1",-0.123,0.134672148,-0.1,0.13,"-0.1","0.13","NS",NA
"PI 32:1",-0.255,0.051858515,-0.3,0.05,"-0.3","0.05","NS",NA
"PI 34:0",-0.229,0.027829388,-0.2,0.03,"-0.2","0.03","NS",NA
"PI 34:2",-0.00984,0.920206864,0,0.92,"-0.0","0.92","NS",NA
"PI 36:0",-0.0295,0.807248915,0,0.81,"-0.0","0.81","NS",NA
"PI 36:1",0.472,0.045908946,0.5,0.05,"0.5","0.05","Up",NA
"PI 36:3",-0.0672,0.485762637,-0.1,0.49,"-0.1","0.49","NS",NA
"PI 38:1",0.161,0.13304883,0.2,0.13,"0.2","0.13","NS",NA
"PI 38:2",0.178,0.19184456,0.2,0.19,"0.2","0.19","NS",NA
"PI 38:4",-0.204,0.240673307,-0.2,0.24,"-0.2","0.24","NS",NA
"PI 40:4",-0.0796,0.562725393,-0.1,0.56,"-0.1","0.56","NS",NA
"PI 40:5",-0.206,0.044457039,-0.2,0.04,"-0.2","0.04","NS",NA
"PI 40:6",-0.131,0.284133509,-0.1,0.28,"-0.1","0.28","NS",NA
"PI O-34:1",-0.303,0.01042457,-0.3,0.01,"-0.3","0.01","NS",NA
"PI O-36:1",0.186,0.090340919,0.2,0.09,"0.2","0.09","NS",NA
"PI O-38:1",-0.185,0.044099805,-0.2,0.04,"-0.2","0.04","NS",NA
"PI O-38:2",0.00938,0.928135001,0,0.93,"0.0","0.93","NS",NA
"PI O-38:3",-0.0942,0.338075567,-0.1,0.34,"-0.1","0.34","NS",NA
"PI O-38:4",-0.206,0.037845328,-0.2,0.04,"-0.2","0.04","NS",NA
"PS 32:1",-0.327,0.000417823,-0.3,0,"-0.3","<0.01","NS",NA
"PS 34:0",-0.18,0.187437885,-0.2,0.19,"-0.2","0.19","NS",NA
"PS 34:1",-0.565,0.042012224,-0.6,0.04,"-0.6","0.04","Down",NA
"PS 34:4",-0.556,0.002282161,-0.6,0,"-0.6","<0.01","Down",NA
"PS 34:5",-0.284,0.010483542,-0.3,0.01,"-0.3","0.01","NS",NA
"PS 36:0",-0.263,0.074672135,-0.3,0.07,"-0.3","0.07","NS",NA
"PS 36:1",-0.648,0.035954255,-0.6,0.04,"-0.6","0.04","Down",NA
"PS 36:2",-0.203,0.173208177,-0.2,0.17,"-0.2","0.17","NS",NA
"PS 36:8",-0.188,0.184752586,-0.2,0.18,"-0.2","0.18","NS",NA
"PS 38:1",-0.069,0.596352389,-0.1,0.6,"-0.1","0.60","NS",NA
"PS 38:2",-0.21,0.044746949,-0.2,0.04,"-0.2","0.04","NS",NA
"PS 38:3",-0.282,0.022644257,-0.3,0.02,"-0.3","0.02","NS",NA
"PS 38:4",-0.147,0.192370225,-0.1,0.19,"-0.1","0.19","NS",NA
"PS 38:8",-0.238,0.028713242,-0.2,0.03,"-0.2","0.03","NS",NA
"PS 40:1",-0.155,0.299616223,-0.2,0.3,"-0.2","0.30","NS",NA
"PS 40:2",-0.143,0.177245535,-0.1,0.18,"-0.1","0.18","NS",NA
"PS 40:4",-0.392,0.000619307,-0.4,0,"-0.4","<0.01","Down",NA
"PS 40:5",-0.197,0.063900987,-0.2,0.06,"-0.2","0.06","NS",NA
"PS 40:6",-0.227,0.140365062,-0.2,0.14,"-0.2","0.14","NS",NA
"PS 42:1",-0.28,0.014687068,-0.3,0.01,"-0.3","0.01","NS",NA
"PS O-34:1",-0.0372,0.600602128,0,0.6,"-0.0","0.60","NS",NA
"SM(32:0",0.142,0.489189575,0.1,0.49,"0.1","0.49","NS",NA
"SM(32:1",0.337,0.357895786,0.3,0.36,"0.3","0.36","NS",NA
"SM(32:2",0.176,0.29396748,0.2,0.29,"0.2","0.29","NS",NA
"SM(34:0",-0.371,0.522745258,-0.4,0.52,"-0.4","0.52","NS",NA
"SM(34:1",-0.612,0.372309129,-0.6,0.37,"-0.6","0.37","NS",NA
"SM(34:1.1",0.303,0.782402533,0.3,0.78,"0.3","0.78","NS",NA
"SM(34:2",0.492,0.197609948,0.5,0.2,"0.5","0.20","NS",NA
"SM(36:0",0.187,0.896031094,0.2,0.9,"0.2","0.90","NS",NA
"SM(36:1",0.162,0.878061385,0.2,0.88,"0.2","0.88","NS",NA
"SM(36:2",0.353,0.431786428,0.4,0.43,"0.4","0.43","NS",NA
"SM(38:0",0.793,0.568456074,0.8,0.57,"0.8","0.57","NS",NA
"SM(38:1",0.404,0.743199045,0.4,0.74,"0.4","0.74","NS",NA
"SM(38:2",0.316,0.560446243,0.3,0.56,"0.3","0.56","NS",NA
"SM(38:3",0.304,0.640755115,0.3,0.64,"0.3","0.64","NS",NA
"SM(40:0",0.466,0.438434301,0.5,0.44,"0.5","0.44","NS",NA
"SM(40:1",0.299,0.707109693,0.3,0.71,"0.3","0.71","NS",NA
"SM(40:2",-0.0423,0.948691722,0,0.95,"-0.0","0.95","NS",NA
"SM(40:3",0.0353,0.946759878,0,0.95,"0.0","0.95","NS",NA
"SM(42:0",0.518,0.088576777,0.5,0.09,"0.5","0.09","Up",NA
"SM(42:1",0.476,0.39871023,0.5,0.4,"0.5","0.40","NS",NA
"SM(42:2",0.382,0.513903457,0.4,0.51,"0.4","0.51","NS",NA
"SM(42:3",0.49,0.279403386,0.5,0.28,"0.5","0.28","NS",NA
"SM(44:0",0.089,0.693901776,0.1,0.69,"0.1","0.69","NS",NA
"SM(44:1",0.283,0.177952661,0.3,0.18,"0.3","0.18","NS",NA
"SM(44:2",0.146,0.34542383,0.1,0.35,"0.1","0.35","NS",NA
"TG 32:0 NL 16:0",-0.443,0.000223266,-0.4,0,"-0.4","<0.01","Down",NA
"TG 34:1 NL 16:1",-0.324,0.445164791,-0.3,0.45,"-0.3","0.45","NS",NA
"TG48:0] NL 16:0",-0.296,0.032152614,-0.3,0.03,"-0.3","0.03","NS",NA
"TG48:1] NL 14:0",0.157,0.090093559,0.2,0.09,"0.2","0.09","NS",NA
"TG48:1] NL 16:0",0.0239,0.859781553,0,0.86,"0.0","0.86","NS",NA
"TG50:1] NL 16:0",0.0372,0.762207485,0,0.76,"0.0","0.76","NS",NA
"TG50:1] NL 18:1",-0.073,0.524115705,-0.1,0.52,"-0.1","0.52","NS",NA
"TG50:2]",0.128,0.272770844,0.1,0.27,"0.1","0.27","NS",NA
"TG50:2] NL 16:0",0.00713,0.94452611,0,0.94,"0.0","0.94","NS",NA
"TG50:2] NL 18:1",0.0129,0.91187671,0,0.91,"0.0","0.91","NS",NA
"TG52:1] NL 16:0",0.025,0.811146661,0,0.81,"0.0","0.81","NS",NA
"TG52:1] NL 18:0",0.0408,0.677943208,0,0.68,"0.0","0.68","NS",NA
"TG52:1] NL 18:1",-0.067,0.537141296,-0.1,0.54,"-0.1","0.54","NS",NA
"TG52:2] NL 16:0",0.295,0.006703268,0.3,0.01,"0.3","<0.01","NS",NA
"TG52:2] NL 18:1",0.27,0.058308868,0.3,0.06,"0.3","0.06","NS",NA
"TG52:3] NL 18:1",0.112,0.380358534,0.1,0.38,"0.1","0.38","NS",NA
"TG54:1] NL 20:0",-0.00479,0.970748178,0,0.97,"-0.0","0.97","NS",NA
"TG54:2] NL 18:1",0.136,0.294482228,0.1,0.29,"0.1","0.29","NS",NA
"TG54:3] NL 18:1",0.158,0.356440498,0.2,0.36,"0.2","0.36","NS",NA
