"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","removed_exact","removed_pattern","removed_low_count","removed_high_padj"
NA,NA,"hsa04517","IgSF CAM signaling","2/8","154/3974",0.012987012987013,6.4512987012987,3.09853623809212,0.0358272599626037,0.172095480259115,0.133481258926737,"MAPK8/TUBA4A",2,"igsf cam signaling",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","1/8","19/3974",0.0526315789473684,26.1447368421053,4.93376627966869,0.0376472719665087,0.172095480259115,0.133481258926737,"FPGS",1,"antifolate resistance",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","1/8","19/3974",0.0526315789473684,26.1447368421053,4.93376627966869,0.0376472719665087,0.172095480259115,0.133481258926737,"C4BPA",1,"complement and coagulation cascades",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","1/8","19/3974",0.0526315789473684,26.1447368421053,4.93376627966869,0.0376472719665087,0.172095480259115,0.133481258926737,"MAPK8",1,"type ii diabetes mellitus",FALSE,FALSE,TRUE,TRUE
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","1/8","21/3974",0.0476190476190476,23.6547619047619,4.67448384834173,0.0415370352962251,0.172095480259115,0.133481258926737,"MAPK8",1,"apoptosis - multiple species",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","2/8","168/3974",0.0119047619047619,5.91369047619048,2.92250973069553,0.0420576854999955,0.172095480259115,0.133481258926737,"MAPK8/TUBA4A",2,"salmonella infection",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","2/8","171/3974",0.0116959064327485,5.80994152046784,2.88737113023819,0.04344495955628,0.172095480259115,0.133481258926737,"MAPK8/TUBA4A",2,"prion disease",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","1/8","22/3974",0.0454545454545455,22.5795454545455,4.55798704145674,0.0434767529075659,0.172095480259115,0.133481258926737,"APOC3",1,"cholesterol metabolism",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","2/8","175/3974",0.0114285714285714,5.67714285714286,2.84179622961914,0.0453225513791624,0.172225695240817,0.133582256696479,"MAPK8/TUBA4A",2,"parkinson disease",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","1/8","26/3974",0.0384615384615385,19.1057692307692,4.15951795957588,0.0512013181487242,0.179988828888845,0.139603523791902,"BNIP3",1,"legionellosis",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","1/8","30/3974",0.0333333333333333,16.5583333333333,3.84134370257594,0.0588712447914858,0.179988828888845,0.139603523791902,"APOC3",1,"ppar signaling pathway",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","1/8","30/3974",0.0333333333333333,16.5583333333333,3.84134370257594,0.0588712447914858,0.179988828888845,0.139603523791902,"MAPK8",1,"inflammatory mediator regulation of trp channels",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","2/8","203/3974",0.00985221674876847,4.89408866995074,2.55772300802735,0.0593189542222983,0.179988828888845,0.139603523791902,"MAPK8/TUBA4A",2,"huntington disease",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","1/8","31/3974",0.032258064516129,16.0241935483871,3.77126064631609,0.0607802280677706,0.179988828888845,0.139603523791902,"MAPK8",1,"prolactin signaling pathway",FALSE,FALSE,TRUE,TRUE
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","1/8","33/3974",0.0303030303030303,15.0530303030303,3.64042138041297,0.0645880327361006,0.179988828888845,0.139603523791902,"GSTA4",1,"glutathione metabolism",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","1/8","33/3974",0.0303030303030303,15.0530303030303,3.64042138041297,0.0645880327361006,0.179988828888845,0.139603523791902,"MAPK8",1,"rig-i-like receptor signaling pathway",FALSE,FALSE,TRUE,TRUE
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","1/8","34/3974",0.0294117647058824,14.6102941176471,3.57920669473219,0.066486864438235,0.179988828888845,0.139603523791902,"GSTA4",1,"drug metabolism - other enzymes",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","1/8","34/3974",0.0294117647058824,14.6102941176471,3.57920669473219,0.066486864438235,0.179988828888845,0.139603523791902,"MAPK8",1,"th1 and th2 cell differentiation",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","1/8","34/3974",0.0294117647058824,14.6102941176471,3.57920669473219,0.066486864438235,0.179988828888845,0.139603523791902,"MAPK8",1,"fc epsilon ri signaling pathway",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","1/8","38/3974",0.0263157894736842,13.0723684210526,3.35803064515217,0.0740485070125748,0.179988828888845,0.139603523791902,"MAPK8",1,"adipocytokine signaling pathway",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","1/8","39/3974",0.0256410256410256,12.7371794871795,3.30789413613369,0.075930522242224,0.179988828888845,0.139603523791902,"MAPK8",1,"il-17 signaling pathway",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","1/8","39/3974",0.0256410256410256,12.7371794871795,3.30789413613369,0.075930522242224,0.179988828888845,0.139603523791902,"MAPK8",1,"th17 cell differentiation",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","2/8","236/3974",0.00847457627118644,4.20974576271186,2.28315243534303,0.0775734068859617,0.179988828888845,0.139603523791902,"MAPK8/TUBA4A",2,"alzheimer disease",FALSE,FALSE,TRUE,TRUE
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","1/8","42/3974",0.0238095238095238,11.827380952381,3.16788369813295,0.0815565007661316,0.179988828888845,0.139603523791902,"TUBA4A",1,"gap junction",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","1/8","42/3974",0.0238095238095238,11.827380952381,3.16788369813295,0.0815565007661316,0.179988828888845,0.139603523791902,"MAPK8",1,"gnrh signaling pathway",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","1/8","44/3974",0.0227272727272727,11.2897727272727,3.08222094010934,0.0852904814582395,0.179988828888845,0.139603523791902,"MAPK8",1,"epithelial cell signaling in helicobacter pylori infection",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","1/8","44/3974",0.0227272727272727,11.2897727272727,3.08222094010934,0.0852904814582395,0.179988828888845,0.139603523791902,"MAPK8",1,"chagas disease",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","2/8","250/3974",0.008,3.974,2.18139369459704,0.0858353596263838,0.179988828888845,0.139603523791902,"GSTA4/MAPK8",2,"pathways in cancer",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","1/8","45/3974",0.0222222222222222,11.0388888888889,3.04143690241534,0.0871524855672303,0.179988828888845,0.139603523791902,"GSTA4",1,"platinum drug resistance",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","1/8","45/3974",0.0222222222222222,11.0388888888889,3.04143690241534,0.0871524855672303,0.179988828888845,0.139603523791902,"MAPK8",1,"toll-like receptor signaling pathway",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","1/8","49/3974",0.0204081632653061,10.1377551020408,2.89031811651319,0.0945673787351295,0.183214975271127,0.142105797994226,"MAPK8",1,"c-type lectin receptor signaling pathway",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","1/8","51/3974",0.0196078431372549,9.74019607843137,2.82114254721876,0.0982550221424616,0.183214975271127,0.142105797994226,"MAPK8",1,"choline metabolism in cancer",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","1/8","54/3974",0.0185185185185185,9.19907407407407,2.72424760353565,0.103761846681085,0.183214975271127,0.142105797994226,"MAPK8",1,"age-rage signaling pathway in diabetic complications",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","2/8","279/3974",0.00716845878136201,3.56093189964158,1.99214447466649,0.103826530550676,0.183214975271127,0.142105797994226,"MAPK8/TUBA4A",2,"pathways of neurodegeneration - multiple diseases",FALSE,FALSE,TRUE,TRUE
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","1/8","56/3974",0.0178571428571429,8.87053571428571,2.66375337346788,0.107416694585142,0.183214975271127,0.142105797994226,"MAPK8",1,"erbb signaling pathway",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","1/8","56/3974",0.0178571428571429,8.87053571428571,2.66375337346788,0.107416694585142,0.183214975271127,0.142105797994226,"MAPK8",1,"progesterone-mediated oocyte maturation",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","1/8","56/3974",0.0178571428571429,8.87053571428571,2.66375337346788,0.107416694585142,0.183214975271127,0.142105797994226,"MAPK8",1,"toxoplasmosis",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","1/8","57/3974",0.0175438596491228,8.71491228070175,2.63462953208516,0.109239223029072,0.183214975271127,0.142105797994226,"MAPK8",1,"endocrine resistance",FALSE,FALSE,TRUE,TRUE
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","1/8","58/3974",0.0172413793103448,8.56465517241379,2.60621183259275,0.111058494465316,0.183214975271127,0.142105797994226,"MAPK8",1,"tnf signaling pathway",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","1/8","59/3974",0.0169491525423729,8.41949152542373,2.57847061738409,0.112874513884182,0.183214975271127,0.142105797994226,"MAPK8",1,"colorectal cancer",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","1/8","59/3974",0.0169491525423729,8.41949152542373,2.57847061738409,0.112874513884182,0.183214975271127,0.142105797994226,"MAPK8",1,"pancreatic cancer",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","1/8","60/3974",0.0166666666666667,8.27916666666667,2.55137795602576,0.114687286269604,0.183214975271127,0.142105797994226,"MAPK8",1,"growth hormone synthesis, secretion and action",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","1/8","61/3974",0.0163934426229508,8.14344262295082,2.52490751773164,0.11649681659915,0.183214975271127,0.142105797994226,"MAPK8",1,"osteoclast differentiation",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","1/8","61/3974",0.0163934426229508,8.14344262295082,2.52490751773164,0.11649681659915,0.183214975271127,0.142105797994226,"MAPK8",1,"dopaminergic synapse",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","1/8","62/3974",0.0161290322580645,8.01209677419355,2.4990344551726,0.118303109844028,0.183214975271127,0.142105797994226,"MAPK8",1,"insulin resistance",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","1/8","64/3974",0.015625,7.76171875,2.448987858192,0.121906004932846,0.183214975271127,0.142105797994226,"MAPK8",1,"retrograde endocannabinoid signaling",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","1/8","65/3974",0.0153846153846154,7.64230769230769,2.42477113687629,0.123702616687459,0.183214975271127,0.142105797994226,"MAPK8",1,"t cell receptor signaling pathway",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","1/8","65/3974",0.0153846153846154,7.64230769230769,2.42477113687629,0.123702616687459,0.183214975271127,0.142105797994226,"MAPK8",1,"relaxin signaling pathway",FALSE,FALSE,TRUE,TRUE
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","1/8","66/3974",0.0151515151515152,7.52651515151515,2.40106524753745,0.125496011178762,0.183214975271127,0.142105797994226,"MAPK8",1,"camp signaling pathway",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","1/8","67/3974",0.0149253731343284,7.41417910447761,2.37785133917031,0.127286193346257,0.183214975271127,0.142105797994226,"MAPK8",1,"alcoholic liver disease",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Infectious disease: viral","hsa05162","Measles","1/8","69/3974",0.0144927536231884,7.19927536231884,2.33282883524699,0.130856940436238,0.185543423006606,0.143911796237811,"MAPK8",1,"measles",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","1/8","71/3974",0.0140845070422535,6.99647887323944,2.28957106380393,0.134414897347122,0.186959915763847,0.145010460980269,"MAPK8",1,"tuberculosis",FALSE,FALSE,TRUE,TRUE
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","1/8","72/3974",0.0138888888888889,6.89930555555556,2.2685660472908,0.136189091767113,0.186959915763847,0.145010460980269,"MAPK8",1,"sphingolipid signaling pathway",FALSE,FALSE,TRUE,TRUE
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","1/8","73/3974",0.0136986301369863,6.80479452054794,2.24795817756979,0.137960103367795,0.186959915763847,0.145010460980269,"MAPK8",1,"necroptosis",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","1/8","74/3974",0.0135135135135135,6.71283783783784,2.22773420935047,0.13972793704456,0.186959915763847,0.145010460980269,"MAPK8",1,"neurotrophin signaling pathway",FALSE,FALSE,TRUE,TRUE
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","1/8","78/3974",0.0128205128205128,6.36858974358974,2.15043324603004,0.146767590200702,0.193651681514816,0.150200750205397,"MAPK8",1,"nod-like receptor signaling pathway",FALSE,FALSE,TRUE,TRUE
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","1/8","80/3974",0.0125,6.209375,2.11378378709384,0.150268476054713,0.1955548660986,0.151676904453207,"GSTA4",1,"chemical carcinogenesis - receptor activation",FALSE,FALSE,TRUE,TRUE
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","1/8","83/3974",0.0120481927710843,5.98493975903614,2.06108672581866,0.155496238196853,0.1996235490365,0.154832669612798,"MAPK8",1,"wnt signaling pathway",FALSE,FALSE,TRUE,TRUE
